Company,Country,Sector,Industry,Total Pages,Auditor,Published
Bank Polska Kasa Opieki,Poland,Financials,Commercial Banks,173,173,PwC
Barclays Bank,United Kingdom,Financials,Commercial Banks,82,82,KPMG
Barclays Bank Ireland,Ireland,Financials,Commercial Banks,87,87,KPMG
Barco,Belgium,Technology & Communications,Hardware,57,57,PwC
BASF,Germany,Resource Transformation,Chemicals,180,180,Deloitte
Basic-Fit,Netherlands,Services,Leisure Facilities,50,50,EY
Bavarian Nordic,Denmark,Health Care,Biotechnology & Pharmaceuticals,71,71,KPMG
Bayer,Germany,Health Care,Biotechnology & Pharmaceuticals,143,143,Deloitte
BBVA,Spain,Financials,Commercial Banks,339,339,EY
BE Semiconductor Industries,Netherlands,Technology & Communications,Semiconductors,79,79,EY
Bekaert,Belgium,Resource Transformation,Industrial Machinery & Goods,87,87,EY
Belfius Bank (Dexia Banque),Belgium,Financials,Commercial Banks,209,209,KPMG
Benefit Systems,Poland,Services,Professional & Commercial Services,88,88,KPMG
Bertelsmann,Germany,Services,Media & Entertainment,86,86,KPMG
Bilfinger,Germany,Resource Transformation,Industrial Machinery & Goods,197,197,PwC
BillerudKorsnas,Sweden,Resource Transformation,Containers & Packaging,109,109,KPMG
bioMerieux,France,Health Care,Medical Equipment & Supplies,104,104,EY
BMW,Germany,Transportation,Automobiles,154,154,PwC
BNP Paribas,France,Financials,Commercial Banks,195,195,Deloitte & EY
BNP Paribas Fortis,Belgium,Financials,Commercial Banks,160,160,Deloitte
Borealis,Austria,Resource Transformation,Chemicals,178,178,KPMG
Borregaard,Norway,Resource Transformation,Chemicals,114,114,EY
BPOST SA,Belgium,Transportation,Air Freight & Logistics,153,153,EY
BRD Groupe Societe Generale,Romania,Financials,Commercial Banks,267,267,PWC
Brenntag,Germany,Resource Transformation,Chemicals,60,60,Deloitte
Brunel International,Netherlands,Services,Professional & Commercial Services,32,32,EY
Brunello Cucinelli,Italy,Consumer Goods,"Apparel, Accessories & Footwear",139,139,PwC
Bureau Veritas,France,Services,Professional & Commercial Services,128,128,EY
BW Offshore,Bermuda,Transportation,Marine Transportation,107,107,KPMG
Cabka,Netherlands,Resource Transformation,Containers & Packaging,34,34,BDO
Caixa Geral de Depósitos,Portugal,Financials,Commercial Banks,147,147,EY
Caixabank,Spain,Financials,Commercial Banks,387,387,PwC
Capgemini,France,Technology & Communications,Software & IT Services,232,232,Forvis Mazars
Cargotec,Finland,Resource Transformation,Industrial Machinery & Goods,47,47,EY
Carlsberg,Denmark,Food & Beverage,Alcoholic Beverages,58,58,PwC
Casino Guichard Perrachon,France,Food & Beverage,Food Retailers & Distributors,107,107,KPMG
CD PROJEKT,Poland,Technology & Communications,Software & IT Services,57,57,Grant Thornton
Cellnex,Spain,Technology & Communications,Telecommunication Services,304,304,Deloitte
Cementir Holding,Netherlands,Extractives & Mineral Processing,Construction Materials,214,214,PwC
Cenergy,Belgium,Resource Transformation,Electrical & Electronic Equipment,106,106,PwC
Clariane,France,Health Care,Health Care Delivery,190,190,Forvis Mazars
CNP assurances,France,Financials,Insurance,161,161,KPMG & Forvis Mazars
Coca Cola HBC,Switzerland,Food & Beverage,Non-Alcoholic Beverages,131,131,PwC
Coface,France,Financials,Insurance,154,154,Deloitte
Commerzbank,Germany,Financials,Commercial Banks,254,254,KPMG
COMPAGNIE D'ENTREPRISES CFE SA,Belgium,Infrastructure,Engineering & Construction Services,54,54,EY
Continental,Germany,Transportation,Auto Parts,124,124,PwC
Copenhagen Airport,Denmark,Services,Professional & Commercial Services,96,96,Deloitte
Corbion,Netherlands,Food & Beverage,Processed Foods,68,68,KPMG
Corticeira Amorim SGPS,Portugal,Resource Transformation,Containers & Packaging,200,200,EY
Covestro,Germany,Resource Transformation,Chemicals,110,110,KPMG
Covivio,France,Infrastructure,Real Estate,230,230,EY
Covivio Hotels,France,Infrastructure,Real Estate,181,181,EY
Crayon Group Holding,Norway,Technology & Communications,Software & IT Services,80,80,Deloitte
Crédit Agricole,France,Financials,Commercial Banks,164,164,PwC & Forvis Mazars
Crédit agricole assurances,France,Financials,Insurance,109,109,PwC & Forvis Mazars
Crédit Mutuel Arkéa,France,Financials,Commercial Banks,165,165,Deloitte & PwC
CTP,Netherlands,Infrastructure,Real Estate,69,69,KPMG
CTT - Correios de Portugal,Portugal,Transportation,Air Freight & Logistics,96,96,EY
CUF,Portugal,Health Care,Health Care Delivery,122,122,Deloitte
Cyfrowy Polsat,Poland,Technology & Communications,Telecommunication Services,117,117,EY
D/S Norden,Denmark,Transportation,Marine Transportation,45,45,EY
Daimler Truck,Germany,Transportation,Industrial Machinery & Goods,97,97,KPMG
Danfoss,Denmark,Technology & Communications,Electronic Manufacturing Services & Original Design Manufacturing,60,60,PwC
Danica Pension,Denmark,Financials,Insurance,69,69,Deloitte
Danone,France,Food & Beverage,Processed Foods,295,295,Forvis Mazars
Danske Bank,Denmark,Financials,Commercial Banks,83,83,Deloitte
Dassault Aviation,France,Resource Transformation,Aerospace & Defence,104,104,PwC & Forvis Mazars
Dassault Systèmes,France,Technology & Communications,Software & IT Services,164,164,PwC
De Volksbank,Netherlands,Financials,Commercial Banks,82,82,EY
Deceuninck,Belgium,Consumer Goods,Building Products & Furnishings,53,53,PwC
DekaBank Deutsche Girozentrale,Germany,Financials,Commercial Banks,301,301,Deloitte
Demant,Denmark,Health Care,Medical Equipment & Supplies,65,65,PwC
Deutsche Bank,Germany,Financials,Investment Banking & Brokerage,158,158,EY
Deutsche Börse,Germany,Financials,Security & Commodity Exchange,64,64,PwC
Deutsche Lufthansa,Germany,Transportation,Airlines,133,133,EY
Deutsche Pfandbriefbank,Germany,Financials,Commercial Banks,169,169,Deloitte
Deutsche Telekom,Germany,Technology & Communications,Telecommunication Services,84,84,Deloitte
DFDS,Denmark,Transportation,Marine Transportation,73,73,PwC
DHL,Germany,Transportation,Air Freight & Logistics,66,66,Deloitte
Digia,Finland,Technology & Communications,Software & IT Services,45,45,EY
Dino Polska,Poland,Food & Beverage,Food Retailers & Distributors,56,56,KPMG
DNB Bank,Norway,Financials,Commercial Banks,146,146,EY
DNO,Norway,Extractives & Mineral Processing,Oil & Gas – Exploration & Production,25,25,EY
DNV,Norway,Services,Professional & Commercial Services,86,86,KPMG
DOF Subea,Norway,Extractives & Mineral Processing,Oil & Gas – Services,73,73,PwC
Dreagewerk,Germany,Health Care,Medical Equipment & Supplies,98,98,KPMG
DSB,Denmark,Transportation,Rail Transportation,105,105,EY
dsm-firmenich,Switzerland,Resource Transformation,Chemicals,55,55,KPMG
DSV Panalpina,Denmark,Transportation,Air Freight & Logistics,42,42,PwC
DWS Group,Germany,Financials,Asset Management & Custody Activities,85,85,KPMG
DZ BANK,Germany,Financials,Commercial Banks,319,319,PwC
E.ON,Germany,Infrastructure,Electric Utilities & Power Generators,53,53,KPMG
Ebro Foods,Spain,Food & Beverage,Processed Foods,219,219,EY
Econocom Group,Belgium,Financials,Commercial Banks,116,116,BDO
Edenred,France,Services,Professional & Commercial Services,104,104,Deloitte & EY
Edison,Italy,Infrastructure,Electric Utilities & Power Generators,159,159,KPMG
EDP Renováveis,Portugal,Infrastructure,Electric Utilities & Power Generators,208,208,PwC
Elia System Operator,Belgium,Infrastructure,Electric Utilities & Power Generators,145,145,EY & BDO
Elisa,Finland,Technology & Communications,Telecommunication Services,65,65,EY
Elkem,Norway,Resource Transformation,Chemicals,54,54,KPMG
ELO,France,Food & Beverage,Food Retailers & Distributors,371,371,PwC & KPMG
Elopak,Norway,Resource Transformation,Containers & Packaging,105,105,PwC
Enagas,Spain,Extractives & Mineral Processing,Oil & Gas – Midstream,217,217,EY
Enav,Italy,Services,Professional & Commercial Services,73,73,EY
EnBW Energie Baden-Wuerttemberg,Germany,Infrastructure,Electric Utilities & Power Generators,115,115,BDO
Endesa,Spain,Infrastructure,Electric Utilities & Power Generators,264,264,KPMG
ENEA,Poland,Infrastructure,Electric Utilities & Power Generators,102,102,PwC
Enel,Italy,Infrastructure,Electric Utilities & Power Generators,180,180,KPMG
Energias de Portugal (EDP),Portugal,Infrastructure,Electric Utilities & Power Generators,278,278,PwC
Engie,France,Infrastructure,Electric Utilities & Power Generators,155,155,Deloitte & EY
Eni,Italy,Extractives & Mineral Processing,Oil & Gas – Exploration & Production,139,139,PwC
Entra,Norway,Infrastructure,Real Estate Services,105,105,Deloitte
EPSO-G,Lithuania,Infrastructure,Electric Utilities & Power Generators,87,87,PwC
Equinor,Norway,Extractives & Mineral Processing,Oil & Gas – Exploration & Production,102,102,EY
Eramet,France,Extractives & Mineral Processing,Metals & Mining,212,212,KPMG & Grant Thornton
ERG,Italy,Infrastructure,Electric Utilities & Power Generators,136,136,KPMG
Erste Group Bank,Austria,Financials,Commercial Banks,211,211,PwC
EssilorLuxottica,France,Health Care,Medical Equipment & Supplies,153,153,PwC
Etteplan,Finland,Resource Transformation,Industrial Machinery & Goods,78,78,KPMG
Eurazeo,France,Financials,Asset Management & Custody Activities,50,50,PwC & Forvis Mazars
Euroapi,France,Health Care,Biotechnology & Pharmaceuticals,116,116,EY
Eurocash,Poland,Food & Beverage,Food Retailers & Distributors,126,126,Grant Thornton
Euronext,Netherlands,Financials,Security & Commodity Exchange,69,69,KPMG
European Energy,Denmark,Renewable Resources & Alternative Energy,Wind Technology & Project Developers,92,92,KPMG
Evonik,Germany,Resource Transformation,Chemicals,132,132,KPMG
Exor,Italy,Financials,Asset Management & Custody Activities,63,63,Deloitte
F-Secure,Finland,Technology & Communications,Software & IT Services,104,104,PwC
FACC,Austria,Resource Transformation,Aerospace & Defence,41,41,KPMG
FBD Holdings,Ireland,Financials,Insurance,91,91,PwC
FDJ UNITED,France,Services,Casinos & Gaming,117,117,Deloitte & PwC
Ferrari,Italy,Transportation,Automobiles,122,122,Deloitte
Ferrovial,Spain,Infrastructure,Engineering & Construction Services,145,145,EY
FinecoBank Banca Fineco,Italy,Financials,Commercial Banks,189,189,KPMG
Fingrid,Finland,Infrastructure,Electric Utilities & Power Generators,80,80,KPMG
FinnAir,Finland,Transportation,Airlines,108,108,KPMG
Fiskars,Finland,Consumer Goods,Appliance Manufacturing,101,101,EY
FLSmidth,Denmark,Infrastructure,Engineering & Construction Services,69,69,EY
FMO,Netherlands,Financials,Investment Banking & Brokerage,127,127,EY
Fnac Darty,France,Consumer Goods,Multiline and Specialty Retailers & Distributors,137,137,KPMG & Deloitte
ForFarmers,Netherlands,Food & Beverage,Agricultural Products,71,71,KPMG
Fortum,Finland,Infrastructure,Electric Utilities & Power Generators,73,73,Deloitte
Forvia,France,Transportation,Auto Parts,132,132,EY & Forvis Mazars
freenet,Germany,Technology & Communications,Telecommunication Services,75,75,KPMG
Fresenius,Germany,Health Care,Health Care Delivery,153,153,PwC
Fresenius Medical,Germany,Health Care,Health Care Delivery,102,102,PwC
Fugro,Netherlands,Extractives & Mineral Processing,Oil & Gas – Services,62,62,EY
Galapagos,Belgium,Health Care,Biotechnology & Pharmaceuticals,42,42,BDO
GALP Energia SGPS,Portugal,Extractives & Mineral Processing,Oil & Gas – Exploration & Production,47,47,EY
Gaztransport Et Technigaz,France,Infrastructure,Engineering & Construction Services,81,81,EY
GEA,Germany,Resource Transformation,Industrial Machinery & Goods,171,171,PwC
Genmab,Denmark,Health Care,Biotechnology & Pharmaceuticals,56,56,Deloitte
Gestamp Automocion,Spain,Transportation,Auto Parts,295,295,EY
Getlink,France,Transportation,Rail Transportation,162,162,KPMG & Forvis Mazars
Gjensidige Forsikring,Norway,Financials,Insurance,111,111,Deloitte
Glenveagh Properties,Ireland,Infrastructure,Home Builders,70,70,KPMG
GN Store Nord,Denmark,Health Care,Medical Equipment & Supplies,64,64,PwC
Gofore,Finnland,Technology & Communications,Software & IT Services,78,78,EY
Grand City Properties,Luxembourg,Infrastructure,Real Estate,113,113,KPMG
Greenvolt-Energias Renovaveis,Portugal,Infrastructure,Electric Utilities & Power Generators,192,192,Deloitte
Grifols,Spain,Health Care,Biotechnology & Pharmaceuticals,234,234,Deloitte
Groupe BPCE,France,Financials,Commercial Banks,346,346,PwC & Forvis Mazars
Groupe Bruxelles Lambert (GBL),Belgium,Financials,Asset Management & Custody Activities,617,617,PwC
Grupa Pracuj,Poland,Services,Professional & Commercial Services,87,87,EY
H Lundbeck,Denmark,Health Care,Biotechnology & Pharmaceuticals,86,86,PwC
Hafslund,Norway,Infrastructure,Electric Utilities & Power Generators,127,127,PwC
Hapag Lloyd,Germany,Transportation,Marine Transportation,174,174,KPMG
Heineken,Netherlands,Food & Beverage,Alcoholic Beverages,147,147,Deloitte
Helaba,Germany,Financials,Commercial Banks,245,245,EY
HELLENiQ ENERGY Holdings,Greece,Extractives & Mineral Processing,Oil & Gas – Refining & Marketing,174,174,EY
Helvetia,Switzerland,Financials,Insurance,184,184,KPMG
Henkel,Germany,Consumer Goods,Household & Personal Products,319,319,PwC
Hensoldt,Germany,Technology & Communications,Semiconductors,58,58,KPMG
Hermes,France,Consumer Goods,"Apparel, Accessories & Footwear",174,174,PwC
HKFoods,Finland,Food & Beverage,"Meat, Poultry & Dairy",87,87,EY
Hochtief,Germany,Infrastructure,Engineering & Construction Services,234,234,Deloitte
Hrvatski Telekom,Croatia,Technology & Communications,Telecommunication Services,50,50,Deloitte
HSBC Continental Europe,France,Financials,Commercial Banks,108,108,PwC
Huhtamaki,Finland,Resource Transformation,Containers & Packaging,72,72,KPMG
IAG,Spain,Transportation,Airlines,68,68,KPMG
Iberdrola,Spain,Infrastructure,Electric Utilities & Power Generators,412,412,KPMG
Ibersol SGPS,Portugal,Food & Beverage,Restaurants,69,69,KPMG
ICA Gruppen,Sweden,Food & Beverage,Food Retailers & Distributors,95,95,KPMG
Icade,France,Infrastructure,Real Estate,126,126,Forvis Mazars
If P&C Insurance,Sweden,Financials,Insurance,82,82,Deloitte
Ignitis,Lithuania,Infrastructure,Electric Utilities & Power Generators,119,119,KPMG
iliad,France,Technology & Communications,Telecommunication Services,122,122,Deloitte
IMCD,Netherlands,Resource Transformation,Chemicals,96,96,Deloitte
Imerys,France,Extractives & Mineral Processing,Metals & Mining,171,171,Deloitte & PwC
Impresa SGPS,Portugal,Services,Media & Entertainment,80,80,Deloitte
Inditex,Spain,Consumer Goods,"Apparel, Accessories & Footwear",295,295,EY
ING,Netherlands,Financials,Commercial Banks,60,60,KPMG
ING BANK ŚLĄSKI,Poland,Financials,Commercial Banks,149,149,Forvis Mazars
InPost,Luxembourg,Transportation,Air Freight & Logistics,89,89,PwC
Intesa Sanpaolo,Italy,Financials,Commercial Banks,235,235,EY
Ion Beam Applications (IBA),Belgium,Health Care,Medical Equipment & Supplies,80,80,PwC
Ipsen,France,Health Care,Biotechnology & Pharmaceuticals,212,212,PwC
ISS,Denmark,Services,Professional & Commercial Services,51,51,PwC
Iveco,Netherlands,Transportation,Automobiles,127,127,Deloitte
JDE Peet's,Netherlands,Food & Beverage,Non-Alcoholic Beverages,131,131,Deloitte
Jenoptik,Germany,Technology & Communications,Hardware,63,63,EY
Jerónimo Martins SGPS,Portugal,Food & Beverage,Food Retailers & Distributors,217,217,EY
Jungheinrich,Germany,Resource Transformation,Industrial Machinery & Goods,74,74,PwC
Just Eat Takeaway.com,Netherlands,Technology & Communications,Internet Media & Services,42,42,EY
K+S,Germany,Resource Transformation,Chemicals,93,93,PwC
Kalmar Global,Finland,Resource Transformation,Industrial Machinery & Goods,50,50,EY
KBC GROEP NV,Belgium,Financials,Commercial Banks,107,107,KPMG
Kemira,Finland,Resource Transformation,Chemicals,76,76,EY
Kempower,Finland,Resource Transformation,Electrical & Electronic Equipment,105,105,EY
Kendrion,Netherlands,Resource Transformation,Electrical & Electronic Equipment,63,63,Forvis Mazars
Kering,France,Consumer Goods,"Apparel, Accessories & Footwear",109,109,Deloitte & PwC
Kerry Group,Ireland,Food & Beverage,Food Retailers & Distributors,53,53,PwC
Kesko,Finland,Food & Beverage,Food Retailers & Distributors,70,70,Deloitte
Kingspan,Ireland,Consumer Goods,Building Products & Furnishings,48,48,EY
KION Group,Germany,Resource Transformation,Industrial Machinery & Goods,129,129,KPMG
Kitron Group,Norway,Technology & Communications,Electronic Manufacturing Services & Original Design Manufacturing,60,60,PwC
Klepierre,France,Infrastructure,Real Estate,102,102,EY & Deloitte
Knorr-Bremse,Germany,Resource Transformation,Industrial Machinery & Goods,78,78,KPMG
"KomerÄnÃ­ banka, a.s.",Czech Republic,Financials,Commercial Banks,149,149,KPMG
Kommunal Landspensjonkasse (KLP),Norway,Financials,Insurance,28,28,EY
Kone,Finland,Resource Transformation,Industrial Machinery & Goods,53,53,EY
Konecranes,Finland,Resource Transformation,Industrial Machinery & Goods,84,84,EY
Kongsberg Automotive,Norway,Transportation,Auto Parts,63,63,Deloitte
Koninklijke Vopak,Netherlands,Extractives & Mineral Processing,Oil & Gas – Midstream,130,130,Deloitte
Koskisen,Finland,Renewable Resources & Alternative Energy,Forestry Management,81,81,PwC
KPN,Netherlands,Technology & Communications,Telecommunication Services,116,116,EY
L’Oréal,France,Consumer Goods,Household & Personal Products,97,97,Deloitte & EY
Lagardere,France,Services,Media & Entertainment,145,145,Forvis Mazars & Deloitte
LAMDA Development,Greece,Infrastructure,Real Estate,134,134,EY
Lamor Corp,Finland,Infrastructure,Engineering & Construction Services,62,62,EY
Lanxess,Germany,Resource Transformation,Chemicals,137,137,KPMG
Lectra,France,Technology & Communications,Software & IT Services,83,83,PwC
LEG Immobilien,Germany,Infrastructure,Real Estate,70,70,Deloitte
Legrand,France,Resource Transformation,Electrical & Electronic Equipment,158,158,PwC & Forvis Mazars
Lenzing,Austria,Resource Transformation,Chemicals,200,200,KPMG
Leonardo,Italy,Resource Transformation,Aerospace & Defence,111,111,EY
LHV Group,Estonia,Financials,Asset Management & Custody Activities,82,82,PwC
Lindab International,Sweden,Resource Transformation,Electrical & Electronic Equipment,84,84,Deloitte
Lindex Group,Finland,Consumer Goods,Multiline and Specialty Retailers & Distributors,104,104,EY
LPP,Poland,Consumer Goods,"Apparel, Accessories & Footwear",101,101,Grant Thornton
Luminor Bank,Estonia,Financials,Commercial Banks,152,152,PwC
Lundbeck,Denmark,Health Care,Biotechnology & Pharmaceuticals,85,85,PwC
LVMH,France,Consumer Goods,"Apparel, Accessories & Footwear",193,193,Deloitte
Mærsk,Denmark,Transportation,Marine Transportation,82,82,PwC
Mapfre,Spain,Financials,Insurance,267,267,KPMG
MAXIMA GRUPE,Lithuania,Food & Beverage,Food Retailers & Distributors,104,104,PwC
Mayr Melnhof Karton,Austria,Resource Transformation,Containers & Packaging,93,93,PwC
MBANK,Poland,Financials,Commercial Banks,202,202,KPMG
MELEXIS NV,Belgium,Technology & Communications,Semiconductors,93,93,PwC
Mercedes-Benz,Germany,Transportation,Automobiles,144,144,PwC
Merck,Germany,Health Care,Biotechnology & Pharmaceuticals,192,192,Deloitte
Metsä,Finland,Renewable Resources & Alternative Energy,Pulp & Paper Products,45,45,KPMG
Michelin,France,Transportation,Auto Parts,140,140,Deloitte & PwC
Minor Hotels Europe & Americas,Spain,Services,Hotels & Lodging,297,297,PwC
Modern Times Group (MTG),Sweden,Technology & Communications,Software & IT Services,51,51,PwC
"MONETA Money Bank, a.s.",Czech Republic,Financials,Commercial Banks,124,124,Deloitte
Mota-Engil SGPS,Portugal,Infrastructure,Engineering & Construction Services,166,166,PwC
MT Højgaard Holding,Denmark,Infrastructure,Engineering & Construction Services,64,64,EY
MTU Aero Engines,Germany,Resource Transformation,Aerospace & Defence,102,102,KPMG
Multiconsult,Norway,Infrastructure,Engineering & Construction Services,34,34,Deloitte
Munich Re,Germany,Financials,Insurance,102,102,EY
Natixis,France,Financials,Investment Banking & Brokerage,211,211,PwC & Forvis Mazars
Neste,Finland,Extractives & Mineral Processing,Oil & Gas – Refining & Marketing,49,49,KPMG
Netcompany,Denmark,Technology & Communications,Internet Media & Services,92,92,EY
NIBC Bank,Netherlands,Financials,Commercial Banks,53,53,EY
Nilfisk,Denmark,Resource Transformation,Industrial Machinery & Goods,70,70,Deloitte
NKT,Denmark,Resource Transformation,Electrical & Electronic Equipment,59,59,PwC
NN,Netherlands,Financials,Insurance,122,122,KPMG
NNIT,Denmark,Technology & Communications,Software & IT Services,74,74,EY
Noho Partners,Finland,Food & Beverage,Restaurants,58,58,EY
Nokia,Finland,Technology & Communications,Hardware,104,104,Deloitte
Nokian Tyres,Finland,Transportation,Auto Parts,101,101,EY
Norbit,Norway,Consumer Goods,Multiline and Specialty Retailers & Distributors,52,52,PwC
Nordea,Finland,Financials,Commercial Banks,110,110,PwC
Nordex,Germany,Renewable Resources & Alternative Energy,Wind Technology & Project Developers,129,129,KPMG
Nordic Semiconductor,Norway,Technology & Communications,Semiconductors,91,91,PwC
Norsk Hydro,Norway,Extractives & Mineral Processing,Metals & Mining,72,72,KPMG
Norwegian Air Shuttle,Norway,Transportation,Airlines,87,87,PwC
NOS,Portugal,Technology & Communications,Telecommunication Services,238,238,KPMG
Novabase SGPS,Portugal,Technology & Communications,Software & IT Services,43,43,EY
Novo Banco,Portugal,Financials,Commercial Banks,224,224,EY
Novo Nordisk,Denmark,Health Care,Biotechnology & Pharmaceuticals,53,53,Deloitte
Novonesis,Denmark,Health Care,Biotechnology & Pharmaceuticals,69,69,EY
NTG Nordic Transport Group,Denmark,Transportation,Air Freight & Logistics,74,74,PwC
NWB Bank,Netherlands,Financials,Commercial Banks,66,66,EY
Nykredit,Denmark,Financials,Commercial Banks,98,98,EY
Nykredit Realkredit,Denmark,Infrastructure,Real Estate,98,98,EY
Odfjell Drilling,Norway,Extractives & Mineral Processing,Oil & Gas – Services,41,41,KPMG
Odjefell Shipping,Norway,Transportation,Marine Transportation,114,114,EY
OMV,Austria,Extractives & Mineral Processing,Oil & Gas – Refining & Marketing,327,327,KPMG
Ontex,Belgium,Consumer Goods,Household & Personal Products,88,88,PwC
OP Financial Group,Finland,Financials,Commercial Banks,254,254,PwC
Op Mobility,France,Consumer Goods,Building Products & Furnishings,146,146,PwC & EY
Orange,France,Technology & Communications,Telecommunication Services,137,137,KPMG & Deloitte
ORANGE BELGIUM NV,Belgium,Technology & Communications,Telecommunication Services,135,135,Deloitte
Orano,France,Resource Transformation,Electrical & Electronic Equipment,157,157,KPMG & PwC
Oriola-KD,Finland,Health Care,Biotechnology & Pharmaceuticals,63,63,KPMG
Orion,Finland,Health Care,Medical Equipment & Supplies,81,81,KPMG
