Title,Authors,DOI,DOI link,Venue,Citation count,Year,Abstract summary
Industry 4.0 adoption for sustainability in multi-tier manufacturing supply chain in emerging economies,"Mahak Sharma, Sachin S. Kamble, Venkatesh Mani, Rajat Sehrawat, Amine Belhadi, Vardaan Sharma",10.1016/j.jclepro.2020.125013,https://doi.org/10.1016/j.jclepro.2020.125013,-,160,2020,The paper examines drivers and barriers for implementing Industry 4.0 in multi-tier manufacturing supply chains to achieve sustainable supply chain performance.
Technology readiness of B2B firms and AI-based customer relationship management capability for enhancing social sustainability performance,"Muhammad Sabbir Rahman, Surajit Bag, Shivam Gupta, U. Sivarajah",10.1016/j.jbusres.2022.113525,https://doi.org/10.1016/j.jbusres.2022.113525,Journal of business research,75,2023,B2B firms' technology readiness and information technology capability enhance their AI-based customer relationship management and social sustainability performance.
Drivers of sub-supplier social sustainability compliance: an emerging economy perspective,"V. Venkatesh, A. Zhang, E. Deakins, Venkatesh Mani",10.1108/SCM-07-2019-0251,https://doi.org/10.1108/SCM-07-2019-0251,-,35,2020,This paper is not directly relevant to the query about social sustainability reporting readiness in software services. The paper examines the drivers of sub-supplier social sustainability compliance in the apparel industry in India.
A systematic literature review on the determinants of sustainability reporting systems.,"M. Benvenuto, Chiara Aufiero, Carmine Viola",10.1016/j.heliyon.2023.e14893,https://doi.org/10.1016/j.heliyon.2023.e14893,Heliyon,17,2023,The paper provides a framework for identifying the drivers that are crucial for adopting sustainability reporting.
Barriers of social sustainability: an improved interpretive structural model of Indian textile and clothing supply chain,"Mahesh Shaw, Abhijit Majumdar, K. Govindan",10.1002/sd.2331,https://doi.org/10.1002/sd.2331,Sustainable Development,13,2022,"This paper is not relevant to the query ""Social sustainability reporting readiness in software services : challenges in drivers"", as it focuses on barriers to social sustainability in the textile and clothing supply chain."
Key issues and challenges in stakeholder engagement in sustainability reporting,"A. Kaur, Sumit K. Lodhia",10.1108/PAR-11-2017-0092,https://doi.org/10.1108/PAR-11-2017-0092,Pacific Accounting Review,21,2019,"The paper identifies key challenges in stakeholder engagement for sustainability reporting, including limited resources, lack of commitment, and heterogeneous concerns."
CSR ‘sustainability’ practices and firm performance in an emerging economy,"Deepak Sardana, N. Gupta, Vikas Kumar, M. Terziovski",10.1016/j.jclepro.2020.120766,https://doi.org/10.1016/j.jclepro.2020.120766,-,146,2020,This paper is not directly relevant to the query about social sustainability reporting readiness in software services. It examines the impact of environmental and supplier sustainability practices on firm performance in the manufacturing industry in India.
"Micro, small, and medium suppliers' perspectives on supply chain social sustainability: New evidence from India","Neha Uttam, Pankaj Dutta, Ashish Singh",10.1016/j.jclepro.2022.134473,https://doi.org/10.1016/j.jclepro.2022.134473,Journal of Cleaner Production,8,2022,"This paper is not directly relevant to the query about social sustainability reporting readiness in software services. It examines socially sustainable practices and their drivers and barriers among micro, small, and medium suppliers in India's manufacturing sector."
Readiness model for DevOps implementation in software organizations,"Saima Rafi, Yuehua Wu, M. Akbar, Sajjad Mahmood, Ahmed Alsanad, Abdu H. Gumaei",10.1002/smr.2323,https://doi.org/10.1002/smr.2323,J. Softw. Evol. Process.,34,2020,This paper is not relevant to the query about social sustainability reporting readiness in software services. It presents a readiness model for DevOps implementation in software organizations.
Sustainability Reporting and Firms’ Economic Performance: Evidence from Asia and Africa,"Alicia Girón, Amirreza Kazemikhasragh, A. Cicchiello, Eva Panetti",10.1007/s13132-020-00693-7,https://doi.org/10.1007/s13132-020-00693-7,Journal of the Knowledge Economy,91,2020,This paper is not directly relevant to the query about social sustainability reporting readiness in software services and its challenges and drivers.
Evaluation of antecedents to social sustainability practices in multi-tier Indian automotive manufacturing firms,"K. Mathiyazhagan, Venkatesh Mani, Deepak Mathivathanan, Sonu Rajak",10.1080/00207543.2021.1938276,https://doi.org/10.1080/00207543.2021.1938276,International Journal of Production Research,36,2021,The paper identifies key social sustainability practices and their relationships in multi-tier Indian automotive manufacturing firms.
Determinants of sustainability reporting: A systematic literature review,"Paul Arkoh, Antonio Costantini, Francesco Scarpa",10.1002/csr.2645,https://doi.org/10.1002/csr.2645,Corporate Social Responsibility and Environmental Management,13,2023,"This paper reviews the determinants of corporate sustainability reporting, but does not specifically address challenges or drivers in the software services industry."
"MATERIALITY ANALYSIS IN SUSTAINABILITY REPORTING: A TOOL FOR DIRECTING CORPORATE SUSTAINABILITY TOWARDS EMERGING ECONOMIC, ENVIRONMENTAL AND SOCIAL OPPORTUNITIES","Armando Calabres, R. Costa, N. L. Ghiron, T. Menichini",10.3846/tede.2019.10550,https://doi.org/10.3846/tede.2019.10550,Technological and Economic Development of Economy,70,2019,The paper proposes a materiality analysis approach to help companies prioritize sustainability issues and improve sustainability reporting.
Examining the extent of and drivers for materiality assessment disclosures in sustainability reports,"M. Farooq, R. Zaman, Dania Sarraj, Fahad Khalid",10.1108/SAMPJ-04-2020-0113,https://doi.org/10.1108/SAMPJ-04-2020-0113,"Sustainability Accounting, Management and Policy Journal",44,2021,The paper examines the extent and drivers of materiality assessment disclosures in sustainability reports of listed companies in the Gulf Cooperation Council region.
An energy company's journey toward standardized sustainability reporting: addressing governance challenges,G. Maione,10.1108/tg-05-2023-0062,https://doi.org/10.1108/tg-05-2023-0062,"Transforming Government: People, Process and Policy",9,2023,This paper examines the challenges and benefits for an energy company in adopting the GRI Standards for sustainability reporting.
Readability of sustainability reports: evidence from Indonesia,"D. Adhariani, E. D. Toit",10.1108/jaee-10-2019-0194,https://doi.org/10.1108/jaee-10-2019-0194,Journal of Accounting in Emerging Economies,60,2020,"Sustainability reports in Indonesia have low readability, making the information difficult for targeted users to understand."
"Lean, Green and Clean? Sustainability Reporting in the Logistics Sector","W. Lambrechts, Semen Son-Turan, Lucinda Reis, J. Semeijn",10.3390/LOGISTICS3010003,https://doi.org/10.3390/LOGISTICS3010003,Logistics,35,2019,The logistics sector lags behind in implementing corporate social responsibility and sustainability reporting.
Factors affecting the readiness for ESG reporting in Vietnamese enterprises,"Dung Thi Phuong Nguyen, Lien Thi Huong Nguyen, Anh Thi Mai Nguyen, Long Le Thanh Phan",10.21511/ppm.22(3).2024.21,https://doi.org/10.21511/ppm.22(3).2024.21,Problems and Perspectives in Management,1,2024,"The paper examines factors affecting the readiness for ESG reporting in Vietnamese enterprises, including accountant qualifications, management processes, women on management boards, and IT systems."
"Examine the level of environmental, social and governance disclosure in sustainability report – a study of the Indian banking sector","Pooja Mishra, T. G. Sant",10.1108/ijis-08-2022-0136,https://doi.org/10.1108/ijis-08-2022-0136,International Journal of Innovation Science,22,2023,"This paper examines the level of environmental, social, and governance (ESG) disclosure in sustainability reports of the Indian banking sector."
Sustainability reporting as a social construct: the systematic literature review within socio-political view,"M. Aluchna, Maria Roszkowska‐Menkes, E. Jastrzębska, L. Bohdanowicz",10.1108/srj-06-2022-0231,https://doi.org/10.1108/srj-06-2022-0231,Social Responsibility Journal,10,2023,Sustainability reporting is a social construct driven by companies' self-interest rather than sustainability transition.
The state of corporate sustainability reporting in India: Evidence from environmentally sensitive industries,"Kishore Kumar, R. Kumari, Rakesh Kumar",10.1111/basr.12247,https://doi.org/10.1111/basr.12247,Business and Society Review,27,2021,The paper examines the extent and determinants of sustainability reporting in environmentally sensitive industries in India.
"Navigating the Challenges of Environmental, Social, and Governance (ESG) Reporting: The Path to Broader Sustainable Development","S. S. Chopra, S. Senadheera, P. D. Dissanayake, Piumi Amasha Withana, Rajeev Chib, J. Rhee, Y. Ok",10.3390/su16020606,https://doi.org/10.3390/su16020606,Sustainability,60,2024,"The paper discusses the challenges and path to broader sustainable development in environmental, social, and governance (ESG) reporting."
Is the global reporting initiative suitable to account for university social responsibility? Evidence from European institutions,"Iratxe Amiano Bonatxea, J. Gutiérrez-Goiria, M. Francisco, A. Sianes",10.1108/ijshe-04-2021-0129,https://doi.org/10.1108/ijshe-04-2021-0129,International Journal of Sustainability in Higher Education,18,2021,The GRI standards do not adequately capture the societal mission of universities in their sustainability reporting.
Social Sustainability in Construction Projects—A Systematic Review of Assessment Indicators and Taxonomy,"Mozhdeh Rostamnezhad, Muhammad Jamaluddin Thaheem",10.3390/su14095279,https://doi.org/10.3390/su14095279,Sustainability,29,2022,"This paper is not relevant to the query ""Social sustainability reporting readiness in software services : challenges in drivers"", as it focuses on social sustainability assessment indicators in construction projects rather than software services."
Evaluating sustainability reporting on GRI standards in developing countries: a case of Pakistan,"Ismail Khan, Y. Fujimoto, Muhammad Jasim Uddin, M. A. Afridi",10.1108/ijlma-01-2022-0016,https://doi.org/10.1108/ijlma-01-2022-0016,International Journal of Law and Management,21,2023,"The paper examines sustainability reporting based on GRI standards in Pakistan, finding limited disclosure of economic, social and environmental sustainability."
Corporate governance and its implications for sustainability reporting quality in Latin American business groups,"J. Correa-García, M. García-Benau, Emma García‐Meca",10.1016/j.jclepro.2020.121142,https://doi.org/10.1016/j.jclepro.2020.121142,-,118,2020,"Corporate governance factors like foreign ownership, group age, and board size influence the quality of sustainability reporting in Latin American business groups."
A study of sustainability reporting disclosures for manufacturing MSMEs: evidence from India,"M. Singh, M. Roy",10.1504/ijesb.2019.10025858,https://doi.org/10.1504/ijesb.2019.10025858,International Journal of Entrepreneurship and Small Business,11,2019,"Sustainability reporting practices are lacking in Indian manufacturing MSMEs, especially for environmental and social disclosures."
"CSR Performance, Firm’s Attributes, and Sustainability Reporting",Berto Usman,10.33736/IJBS.3269.2020,https://doi.org/10.33736/IJBS.3269.2020,-,25,2020,CSR performance and firm attributes are drivers of sustainability reporting in Indonesia.
Social sustainability considerations in construction project feasibility study: a stakeholder salience perspective,"Ashish Goel, L. Ganesh, Arshinder Kaur",10.1108/ecam-06-2019-0319,https://doi.org/10.1108/ecam-06-2019-0319,-,29,2020,This paper examines the integration of social sustainability considerations in construction project feasibility studies from a stakeholder salience perspective.
Determinants of the extent and quality of corporate social responsibility disclosure in the industrial and services sectors: the case of Jordan,"H. Alkayed, B. Omar",10.1108/jfra-05-2021-0133,https://doi.org/10.1108/jfra-05-2021-0133,Journal of Financial Reporting & Accounting,37,2022,This paper examines the determinants of the extent and quality of corporate social responsibility disclosure in the industrial and services sectors in Jordan.
"Thirty Years of Sustainability Reporting: Insights, Gaps and an Agenda for Future Research Through a Systematic Literature Review",E. du Toit,10.3390/su162310750,https://doi.org/10.3390/su162310750,Sustainability,4,2024,"This paper reviews the progress, gaps, and future research directions in sustainability reporting, including challenges in data collection and comparability."
The contemporary definition of university social responsibility with quantifiable sustainability,I. Kouatli,10.1108/SRJ-10-2017-0210,https://doi.org/10.1108/SRJ-10-2017-0210,Social Responsibility Journal,55,2019,This paper proposes a contemporary definition of university social responsibility and a mechanism to quantify its sustainability.
Sustainability Reporting: A Nuanced View of Challenges,Xinwu He,10.1080/0969160X.2022.2028736,https://doi.org/10.1080/0969160X.2022.2028736,Social and Environmental Accountability Journal,6,2022,"This paper discusses the challenges in sustainability reporting from the perspective of sustainability reporting managers, but does not specifically address social sustainability reporting readiness in software services."
Service customer orientation and social sustainability: The case of small medium enterprises,"Corrinne Mei Jyin Lee, Norbani Che-Ha, S. Alwi",10.1016/j.jbusres.2019.12.048,https://doi.org/10.1016/j.jbusres.2019.12.048,-,89,2021,Service customer orientation is positively associated with social sustainability indicators in small and medium enterprises.
"Top‐down and bottom‐up strategies for the implementation of corporate social responsibility: A qualitative survey of an international
 IT
 services company","Matthias Gotsch, C. Gandenberger, Luisa Serafimov, Mathias Miemiec",10.1002/csr.2441,https://doi.org/10.1002/csr.2441,Corporate Social Responsibility and Environmental Management,13,2022,The paper examines top-down and bottom-up approaches for implementing corporate social responsibility in an IT services company.
Uptake of sustainability reporting adoption by non-governmental organisations: An agenda for policy and practice,I. E. Asogwa,10.1016/j.jclepro.2022.135842,https://doi.org/10.1016/j.jclepro.2022.135842,Journal of Cleaner Production,4,2023,"This paper is not directly relevant to the query about social sustainability reporting readiness in software services, as it focuses on sustainability reporting adoption by non-governmental organizations."
Sustainable development goal reporting: Contrasting effects of institutional and organisational factors,"N. Subramaniam, S. Akbar, H. Situ, Sophia Ji, N. Parikh",10.1016/j.jclepro.2023.137339,https://doi.org/10.1016/j.jclepro.2023.137339,Journal of Cleaner Production,61,2023,Sustainable Development Goal reporting by companies is driven by external institutional factors and organizational characteristics.
Exploring the nexus between integrated reporting and sustainability embeddedness,"C. L. Roux, M. Pretorius",10.1108/SAMPJ-02-2018-0049,https://doi.org/10.1108/SAMPJ-02-2018-0049,"Sustainability Accounting, Management and Policy Journal",32,2019,The paper explores how integrated reporting can drive sustainability embeddedness within organizations.
Do the IFRS promote corporate social responsibility reporting? Evidence from IFRS convergence in India,"P. Weerathunga, Xiaofang Chen, M. Nurunnabi, K. Kulathunga, R. Swarnapali",10.1016/j.intaccaudtax.2020.100336,https://doi.org/10.1016/j.intaccaudtax.2020.100336,-,15,2020,IFRS convergence led to increased corporate social responsibility reporting in India.
Social Sustainability Strategy across the Supply Chain: A Conceptual Approach from the Organisational Perspective,"Mohammad K. Najjar, M. Small, M. M. Yasin",10.3390/su122410438,https://doi.org/10.3390/su122410438,Sustainability,29,2020,This paper proposes a conceptual framework for selecting and implementing social sustainability strategies across a multi-tiered supply chain.
Determinants of GRI-based sustainability reporting: evidence from an emerging economy,"N. Orazalin, Monowar Mahmood",10.1108/jaee-12-2018-0137,https://doi.org/10.1108/jaee-12-2018-0137,Journal of Accounting in Emerging Economies,110,2019,"The paper examines the determinants of sustainability reporting quality and scope in Kazakhstan, including factors like reporting language, profitability, and auditor type."
Corporate sustainability reporting,Richard Barker,10.1016/j.jaccpubpol.2024.107280,https://doi.org/10.1016/j.jaccpubpol.2024.107280,Journal of Accounting and Public Policy,94,2025,"This paper provides a general overview of corporate sustainability reporting, but does not specifically address challenges or drivers in the software services industry."
ASSESSING ORGANISATIONS’ READINESS TO ADOPT GREEN INFORMATION TECHNOLOGY: THE CASE OF A SOUTH AFRICAN INFORMATION TECHNOLOGY SERVICES VENDOR,"Isaac Muranganwa, R. Naidoo",10.7166/34-2-2881,https://doi.org/10.7166/34-2-2881,South African Journal of Industrial Engineering,2,2023,"The paper assesses an IT services vendor's readiness to adopt green IT, finding barriers like lack of policy and governance, but drivers like economic and regulatory requirements."
Data Preparation for Software Vulnerability Prediction: A Systematic Literature Review,"Roland Croft, Yongzhen Xie, M. A. Babar",10.1109/TSE.2022.3171202,https://doi.org/10.1109/TSE.2022.3171202,IEEE Transactions on Software Engineering,41,2021,"This paper is not relevant to the given query, which is about social sustainability reporting readiness in software services. The paper instead focuses on data preparation challenges for software vulnerability prediction."
"Understanding Sustainability Reporting in Non-Governmental Organisations: A Systematic Review of Reporting Practices, Drivers, Barriers and Paths for Future Research","I. E. Asogwa, M. Varua, P. Humphreys, Rina Datt",10.3390/su131810184,https://doi.org/10.3390/su131810184,Sustainability,17,2021,"This paper is not directly relevant to the query about social sustainability reporting readiness in software services, as it focuses on sustainability reporting in non-governmental organizations rather than the software services industry."
Organizational and human factors related challenges to ISO 20000,"Nafis Ahmad, Golam Rabbany, S. Ali",10.1108/ijm-08-2019-0374,https://doi.org/10.1108/ijm-08-2019-0374,International journal of manpower,13,2019,"The paper identifies organizational and human factor challenges to implementing the IT service management standard ISO 20000, with implications for environmental sustainability and circular economy."
Moving from Social and Sustainability Reporting to Integrated Reporting: Exploring the Potential of Italian Public-Funded Universities’ Reports,"S. Mauro, Lino Cinquini, Elena Simonini, Andrea Tenucci",10.3390/su12083172,https://doi.org/10.3390/su12083172,Sustainability,42,2020,The paper explores the potential for Italian public-funded universities to move from social and sustainability reporting to integrated reporting.
"Firms’ characteristics, corporate governance, and the adoption of sustainability reporting: evidence from Gulf Cooperation Council countries","A. Al-Qudah, Asma Houcine",10.1108/jfra-02-2023-0066,https://doi.org/10.1108/jfra-02-2023-0066,Journal of Financial Reporting & Accounting,25,2023,"Firm size, profitability, auditor type, and government ownership influence sustainability reporting and economic performance in Gulf Cooperation Council countries."
Determinants/Motivations of Corporate Social Responsibility Disclosure in Developing Economies: A Survey of the Extant Literature,"Waris Ali, Jeffrey Wilson, M. Husnain",10.3390/su14063474,https://doi.org/10.3390/su14063474,Sustainability,38,2022,"Internal and external factors, including company characteristics, corporate policies, regulations, and stakeholder pressures, influence corporate social responsibility disclosure in developing economies."
Social contagion and the institutionalisation of GRI-based sustainability reporting practices,"Ameeta Jain, Muhammad Azizul Islam, M. Keneley, Monika Kansal",10.1108/MEDAR-06-2020-0917,https://doi.org/10.1108/MEDAR-06-2020-0917,-,15,2021,The paper examines how social contagion and institutional dynamics drive the diffusion of GRI-based sustainability reporting practices in the global financial services sector.
Sustainability key performance indicators and the global reporting initiative: usage and challenges in a developing country context,D. Dissanayake,10.1108/medar-08-2019-0543,https://doi.org/10.1108/medar-08-2019-0543,Meditari Accountancy Research,30,2020,The paper examines the challenges and drivers for software services companies in a developing country context to adopt sustainability key performance indicators and reporting using the Global Reporting Initiative framework.
Drivers of Sustainability Accounting and Reporting in Emerging Economies: Evidence from Nigeria,"I. M. Ikpor, E. Bracci, Clementina I. Kanu, Riccardo Ievoli, B. Okezie, Sunday Mlanga, Charles O. Ogbaekirigwe",10.3390/su14073780,https://doi.org/10.3390/su14073780,Sustainability,21,2022,"The drivers of sustainability reporting in Nigeria include firm size, profitability, ownership structure, leverage, and auditor type."
Drivers of combined assurance in a sustainable development context: Evidence from integrated reports,"W. Maroun, A. Prinsloo",10.1002/bse.2606,https://doi.org/10.1002/bse.2606,-,35,2020,"Larger, more profitable firms in environmentally/socially sensitive industries do not necessarily use extensive combined assurance models for integrated reporting."
The state of play regarding the social sustainability of the construction industry: a systematic review,"A. Gurmu, S. Shooshtarian, M. Mahmood, M. Hosseini, A. Shreshta, Igor Martek",10.1007/s10901-022-09941-5,https://doi.org/10.1007/s10901-022-09941-5,Journal of Housing and the Built Environment,22,2022,"This paper is not relevant to the query about social sustainability reporting readiness in software services, as it focuses on the construction industry."
