Title,Authors,DOI,DOI link,Venue,Citation count,Year,Abstract summary
Mandatory CSR and sustainability reporting: economic analysis and literature review,"Hans B. Christensen, Luzi Hail, C. Leuz",10.1007/s11142-021-09609-5,https://doi.org/10.1007/s11142-021-09609-5,Review of accounting studies,651,2019,This paper analyzes the potential economic effects of mandated corporate social responsibility (CSR) and sustainability reporting.
Corporate Social Responsibility Reporting in China: An Overview and Comparison with Major Trends,"C. Noronha, S. Tou, M. Cynthia, Jenny Guan",10.1002/CSR.1276,https://doi.org/10.1002/CSR.1276,-,224,2013,CSR reporting in China is at a preliminary stage and more research is needed.
The greenwashing triangle: adapting tools from fraud to improve CSR reporting,"J. Kurpierz, Ken A. Smith",10.1108/sampj-10-2018-0272,https://doi.org/10.1108/sampj-10-2018-0272,-,70,2020,Adapting fraud-fighting tools can help improve the robustness of corporate social responsibility (CSR) reporting and combat greenwashing.
The impact of introducing new regulations on the quality of CSR reporting: Evidence from the UK,"Ruba Subhi Hamed, Basiem Khalil Al-Shattarat, Wasim Khalil Al-Shattarat",10.1016/j.intaccaudtax.2021.100444,https://doi.org/10.1016/j.intaccaudtax.2021.100444,"Journal of International Accounting, Auditing and Taxation",36,2021,"Mandatory CSR reporting regulations in the UK improve the quality of firms' CSR reporting, especially for larger firms with better corporate governance."
Determinants of Corporate Social Responsibility (CSR) Disclosure in Developed and Developing Countries: A Literature Review,"Waris Ali, J. Frynas, Zeeshan Mahmood",10.1002/CSR.1410,https://doi.org/10.1002/CSR.1410,-,770,2017,Firm characteristics and external stakeholder pressures drive CSR disclosure in developed and developing countries.
Is corporate social responsibility reporting a tool of signaling or greenwashing? Evidence from the worldwide logistics sector,"Ali Uyar, Abdullah S. Karaman, Merve Kılıç",10.1016/j.jclepro.2020.119997,https://doi.org/10.1016/j.jclepro.2020.119997,-,164,2020,"CSR reporting in the logistics sector reflects actual CSR performance, rather than being a greenwashing tool."
Doing well by doing good: can voluntary CSR reporting enhance financial performance?,"Avinandan Mukherjee, R. Nuñez",10.1108/JIBR-07-2018-0199,https://doi.org/10.1108/JIBR-07-2018-0199,Journal of Indian Business Research,26,2019,"Voluntary CSR reporting can enhance financial performance, especially for firms in high environmental risk sectors."
Does assurance on CSR reporting enhance environmental reputation? An examination in the U.S. context,"R. Birkey, Giovanna Michelon, Dennis M. Patten, Jomo Sankara",10.1016/j.accfor.2016.07.001,https://doi.org/10.1016/j.accfor.2016.07.001,-,141,2016,"CSR reporting refers to various types of corporate social responsibility reports, including citizenship, social responsibility, and sustainability reports."
Review of the Use of Corporate Social Responsibility (CSR) Tools,"A. Olanipekun, T. Omotayo, N. Saka",10.1016/j.spc.2020.11.012,https://doi.org/10.1016/j.spc.2020.11.012,Sustainable Production and Consumption,31,2021,"This paper reviews the use of various corporate social responsibility (CSR) reporting tools, finding that the GRI framework is widely used but has problems, while other standards and ratings are less commonly implemented."
Corporate social responsibility: Trends in global reporting initiative standards,"G. Halkos, Stylianos Nomikos",10.1016/j.eap.2020.11.008,https://doi.org/10.1016/j.eap.2020.11.008,-,74,2021,The paper analyzes trends in corporate social responsibility (CSR) reporting using the Global Reporting Initiative standards.
Does CSR reporting indicate strong corporate governance?,"Siew H. Chan, T. Creel, Qian Song, Y. Yurova",10.1108/ijaim-07-2020-0099,https://doi.org/10.1108/ijaim-07-2020-0099,-,14,2020,Companies that file CSR reports have stronger corporate governance than those that do not.
Effect of Financial Reporting Quality on Sustainability Information Disclosure,"Jennifer Martínez‐Ferrero, Isabel‐María García‐Sánchez, Beatriz Cuadrado‐Ballesteros",10.1002/CSR.1330,https://doi.org/10.1002/CSR.1330,-,263,2015,High quality financial reporting is associated with high quality CSR reporting.
Corporate social responsibility and financial reporting quality: evidence from US firms,"D. Chulkov, Xiaoqiong Wang",10.1108/sef-09-2022-0462,https://doi.org/10.1108/sef-09-2022-0462,Studies in Economics and Finance,11,2023,Firms with higher CSR scores have higher financial reporting quality.
Corporate social responsibility and non-GAAP reporting,Juhee Hwang,10.1080/00036846.2021.2017400,https://doi.org/10.1080/00036846.2021.2017400,Applied Economics,2,2022,Firms with good corporate social responsibility (CSR) performance are more likely to disclose informative non-GAAP earnings.
Using Global Reporting Initiative indicators for CSR programs,"Kathleen M. Wilburn, R. Wilburn",10.1108/20412561311324078,https://doi.org/10.1108/20412561311324078,-,71,2013,The Global Reporting Initiative's performance indicators can be used to create and evaluate corporate social responsibility (CSR) programs.
Whose Call to Answer: Institutional Complexity and Firms’ CSR Reporting,"X. Luo, Danqing Wang, Jianjun Zhang",10.5465/AMJ.2014.0847,https://doi.org/10.5465/AMJ.2014.0847,-,479,2017,Firms' CSR reporting is influenced by the co-existence of conflicting institutional pressures.
"Transparency reports as CSR reports: motives, stakeholders, and strategies","Amanda Reid, Evan Ringel, Shanetta M. Pendleton",10.1108/srj-03-2023-0134,https://doi.org/10.1108/srj-03-2023-0134,Social Responsibility Journal,15,2023,ICT companies use transparency reports as a form of CSR reporting to engage consumers/users as their primary stakeholders.
"CSR Performance, Financial Reporting, and Investors’ Perception on Financial Reporting","Lukas Timbate, C. Park",10.3390/SU10020522,https://doi.org/10.3390/SU10020522,-,62,2018,"Socially responsible firms are less likely to manage earnings, but investors do not fully reflect the benefits of CSR performance."
"Financial-tax reporting conformity, tax avoidance and corporate social responsibility",Abdullah Alsaadi,10.1108/jfra-10-2019-0133,https://doi.org/10.1108/jfra-10-2019-0133,-,63,2020,Firms in low financial-tax reporting conformity jurisdictions are more likely to engage in CSR to hedge against negative consequences of aggressive tax avoidance.
Corporate Social Responsibility as a Conflict Between Shareholders,"A. Barnea, Amir Rubin",10.2139/ssrn.686606,https://doi.org/10.2139/ssrn.686606,-,1986,2006,Insiders may over-invest in CSR for their private benefit rather than for firm value maximization.
Corporate social responsibility reporting in Qatar: a descriptive analysis,"Hend Abdulla AlNaimi, Mohammed Hossain, M. Momin",10.1108/17471111211272093,https://doi.org/10.1108/17471111211272093,-,60,2012,The paper explores the current status and extent of corporate social responsibility reporting in the annual reports of Qatari companies.
Conformance and Deviance: Company Responses to Institutional Pressures for Corporate Social Responsibility Reporting,"Esben Rahbek Gjerdrum Pedersen, P. Neergaard, J. Pedersen, W. Gwozdz",10.1002/BSE.1743,https://doi.org/10.1002/BSE.1743,-,130,2013,"CSR reporting by large Danish companies is influenced by government regulation, mimetic isomorphism, and various factors leading to non-conformance."
Corporate social responsibility reporting practices in banking companies in Bangladesh: Impact of regulatory change,"Md. Hafij Ullah, Mohammad Afjalur Rahman",10.1108/JFRA-05-2013-0038,https://doi.org/10.1108/JFRA-05-2013-0038,-,45,2015,The paper examines the nature and extent of corporate social responsibility (CSR) reporting in the annual reports of banking companies in Bangladesh and the impact of regulatory change on CSR reporting.
Corporate Social Responsibility Reporting in India: Exploring Linkages with Firm Performance,"Tirthankar Nag, A. Bhattacharyya",10.1177/0972150916653032,https://doi.org/10.1177/0972150916653032,-,32,2016,"CSR reporting in India may not significantly impact firm performance, but environment-oriented CSR disclosure may be negatively related to market performance."
The corporatisation of football and CSR reporting by professional football clubs in Europe,"J. Ribeiro, M. C. Branco, J. Ribeiro",10.1108/IJSMS-05-2017-0039,https://doi.org/10.1108/IJSMS-05-2017-0039,International Journal of Sports Marketing & Sponsorship,15,2019,Football clubs in more corporatized countries disclose more CSR information on their websites.
Real effects of a widespread CSR reporting mandate: Evidence from the European Union's CSR Directive*,"P. Fiechter, Jörg-Markus Hitz, Nico Lehmann",10.1111/1475-679x.12424,https://doi.org/10.1111/1475-679x.12424,Journal of Accounting Research,79,2022,"The EU's CSR reporting mandate led to increased CSR activities by affected firms, especially those with previously low CSR reporting and activities."
A multi-level institutional perspective of corporate social responsibility reporting: A mixed-method study,"Majid Khan, J. Lockhart, R. Bathurst",10.1016/j.jclepro.2020.121739,https://doi.org/10.1016/j.jclepro.2020.121739,-,52,2020,"This paper examines the institutionalization of corporate social responsibility (CSR) reporting among listed companies in Pakistan, identifying organizational and external institutional drivers."
CSR Reporting Practices in Visegrad Group Countries and the Quality of Disclosure,P. Hąbek,10.3390/SU9122322,https://doi.org/10.3390/SU9122322,-,64,2017,"CSR reporting practices are not widespread in Visegrad Group countries, and the quality of CSR reports can be improved by external verification and using GRI guidelines."
The influence of coercive isomorphism on corporate social responsibility reporting and reputation,"Suaini Othman, F. Darus, Roshayani Arshad",10.1108/17471111111114585,https://doi.org/10.1108/17471111111114585,-,185,2011,"Regulatory efforts are a significant mechanism in promoting CSR reporting and reputation, especially in developing countries."
Political connections and corporate social responsibility reporting in Portugal,"M. Bianchi, Patrícia Monteiro, Graça Maria do Carmo Azevedo, J. Oliveira, Rui Couto Viana, M. C. Branco",10.1108/jfc-10-2018-0111,https://doi.org/10.1108/jfc-10-2018-0111,Journal of Financial Crime,20,2019,Politically connected firms in Portugal use CSR reporting to deal with legitimacy issues arising from their political connections.
Consistencies and discrepancies in corporate social responsibility reporting in the pharmaceutical industry,"Mert C. Demir, Maung K. Min",10.1108/SAMPJ-03-2018-0094,https://doi.org/10.1108/SAMPJ-03-2018-0094,"Sustainability Accounting, Management and Policy Journal",34,2019,"Pharmaceutical companies' CSR reporting is comprehensive but has discrepancies, with selective disclosure on sensitive topics."
"Corporate social responsibility (
 CSR
 ) performance and stakeholder engagement: Evidence from the quantity and quality of
 CSR
 disclosures","Kevin Koh, Heather Li, Y. H. Tong",10.1002/csr.2370,https://doi.org/10.1002/csr.2370,Corporate Social Responsibility and Environmental Management,53,2022,"Better CSR performing firms issue longer CSR reports with higher disclosure quality, while poor CSR performers exhibit lower disclosure quality."
Corporate Social Responsibility Report Narratives and Analyst Forecast Accuracy,"Volkan Muslu, Sunay Mutlu, S. Radhakrishnan, Albert H. C. Tsang",10.1007/s10551-016-3429-7,https://doi.org/10.1007/s10551-016-3429-7,Journal of Business Ethics,220,2016,CSR report narratives with higher disclosure scores are associated with more accurate analyst forecasts.
Guest Editorial: Communicating Corporate Social Responsibility,K. Podnar,10.1080/13527260701856350,https://doi.org/10.1080/13527260701856350,-,154,2008,This paper introduces the field of Corporate Social Responsibility communication and reviews perspectives on communicating CSR.
Corporate social responsibility disclosures and earnings quality: Are they a reflection of managers’ opportunistic behavior?,"M. Muttakin, Arifur Khan, M. Azim",10.1108/MAJ-02-2014-0997,https://doi.org/10.1108/MAJ-02-2014-0997,-,134,2015,"CSR disclosures may be used opportunistically by managers to manage earnings, rather than reflecting genuine socially responsible practices."
Committed vs opportunistic corporate and social responsibility reporting,"Tiago Cruz Gonçalves, Cristina Gaio, Eva Costa",10.1016/j.jbusres.2020.01.008,https://doi.org/10.1016/j.jbusres.2020.01.008,-,41,2020,"The paper analyzes characteristics of firms that disclose CSR information, distinguishing between committed reporting using GRI standards and opportunistic CSR reporting."
Information asymmetry in CSR reporting: publicly-traded versus privately-held firms,L. Hickman,10.1108/sampj-12-2018-0333,https://doi.org/10.1108/sampj-12-2018-0333,-,37,2020,Publicly-traded firms are more likely to publish CSR reports than privately-held firms due to higher information asymmetry.
The Real Effects of Mandatory Corporate Social Responsibility Reporting in China,"Tong Lu, Konduru Sivaramakrishnan, Yanyan Wang, Lisheng Yu",10.1111/poms.13334,https://doi.org/10.1111/poms.13334,Production and operations management,36,2020,"Mandatory CSR reporting in China leads to increased CSR expenditures, but with negative effects on profitability and shareholder value."
Corporate social and environmental reporting and the impact of internal environmental policy in South Africa,"C. Mitchell, T. Hill",10.1002/CSR.179,https://doi.org/10.1002/CSR.179,-,107,2009,"CSR reporting in South Africa is limited, but implementing standards like ISO 14001 could facilitate increased CSR reporting."
Corporate Social Responsibility: Why Business Should Act Responsibly and Be Accountable,"C. Adams, Ambika Zutshi",10.1111/J.1835-2561.2004.TB00238.X,https://doi.org/10.1111/J.1835-2561.2004.TB00238.X,-,243,2004,CSR reporting is driven by pressures on organizations to act responsibly and be accountable.
Do shareholders reward or punish risky firms due to CSR reporting and assurance?,"Ali Uyar, S. Pizzi, F. Caputo, C. Kuzey, Abdullah S. Karaman",10.1002/mde.3476,https://doi.org/10.1002/mde.3476,Managerial and Decision Economics,20,2021,Shareholders reward risky firms for CSR reporting if it is assured and follows the GRI framework.
Corporate Social Responsibility Information in Annual Reports in the EU—A Czech Case Study,Radka Macgregor Pelikanova,10.3390/SU11010237,https://doi.org/10.3390/SU11010237,Sustainability,41,2018,"The paper examines the extent and quality of CSR reporting by large Czech companies, finding they satisfy legal requirements but with varying depth and focus."
Valuing Stakeholder Engagement and Sustainability Reporting,M. Camilleri,10.1057/crr.2015.9,https://doi.org/10.1057/crr.2015.9,Corporate Reputation Review,0,2015,"CSR reporting involves businesses engaging with stakeholders and implementing sustainability practices to address societal, environmental, governance and economic issues."
Reporting Models do not Translate Well: Failing to Regulate CSR Reporting in Spain,"Mercedes Luque-Vílchez, Carlos Larrinaga",10.1080/0969160X.2016.1149301,https://doi.org/10.1080/0969160X.2016.1149301,-,97,2016,"Governmental regulation of CSR reporting alone does not guarantee better disclosure levels, as structural elements are necessary to accompany changes in the law."
Corporate social reporting: empirical evidence from Indonesia Stock Exchange,"S. Siregar, Yanivi S. Bachtiar",10.1108/17538391011072435,https://doi.org/10.1108/17538391011072435,-,278,2010,"Larger boards and firm size positively influence CSR reporting, but profitability and leverage do not, and CSR reporting has little impact on future performance."
"Corporate social responsibility reporting in China: political, social and corporate influences","Sepideh Parsa, N. Dai, A. Belal, Teng Li, Guliang Tang",10.1080/00014788.2020.1780110,https://doi.org/10.1080/00014788.2020.1780110,Accounting and Business Research,46,2020,"CSR reporting in China is influenced by political, social, and corporate factors, helping companies gain legitimacy domestically and globally."
The Corporate Social Responsibility Report: The Hybridization of a “Confused” Genre (2007–2011),Aditi Bhatia,10.1109/TPC.2012.2205732,https://doi.org/10.1109/TPC.2012.2205732,IEEE Transactions on Professional Communication,86,2012,"CSR reports are a hybrid genre that integrates promotional discourse with reporting, reflecting companies' attempts to create a positive public image."
CSR after Enron: A Role for the academic accounting profession?,D. Owen,10.1080/09638180500126892,https://doi.org/10.1080/09638180500126892,-,95,2005,The paper discusses the role of academic accounting in addressing the imbalance between reputation/risk management and accountability in corporate social responsibility (CSR) reporting.
An overview of CSR reporting development in China,"B. Britzelmaier, Pat Kraus, Yan Xu",10.1504/WREMSD.2012.049393,https://doi.org/10.1504/WREMSD.2012.049393,-,2,2012,The paper provides an overview of the development of corporate social responsibility (CSR) reporting in China.
CSR disclosure and financial performance revisited: A cross-country analysis,"Cornelia Beck, Geoffrey Frost, Stewart Jones",10.1177/0312896218771438,https://doi.org/10.1177/0312896218771438,Australian Journal of Management,134,2018,"CSR disclosure is positively associated with financial performance, even after controlling for actual CSR performance."
Economic Perspectives on Corporate Social Responsibility,"Markus Kitzmueller, J. Shimshack",10.1257/JEL.50.1.51,https://doi.org/10.1257/JEL.50.1.51,-,1003,2012,"The paper provides an economic perspective on corporate social responsibility (CSR), including why it exists and conditions when it may produce higher welfare."
Exploring the status of corporate social responsibility disclosure in the UK building and construction industry,"K. Evangelinos, A. Skouloudis, N. Jones, D. Isaac, E. Sfakianaki",10.1504/IJGENVI.2016.081068,https://doi.org/10.1504/IJGENVI.2016.081068,-,26,2016,CSR reporting practices of UK building and construction firms are lacking and have room for improvement.
CSR reporting and assurance legitimacy: a client–assuror dyad investigation,"L. Hickman, J. Côté",10.1108/JAAR-01-2018-0009,https://doi.org/10.1108/JAAR-01-2018-0009,-,19,2019,CSR reporting and assurance may serve the commercial and professional interests of the firm and the assuror rather than providing accountability to the public.
Corporate Social Responsibility Reporting in India: A Study of SENSEX Companies,"Shafat Maqbool, M. Nasir Zamir",10.1177/0258042X19832122,https://doi.org/10.1177/0258042X19832122,Management and Labour Studies,19,2019,"The paper examines the corporate social responsibility (CSR) disclosure practices of Indian firms, finding that fair business practices, community development, and environmental activities are the dominant CSR reporting areas."
CSR as Reputation Insurance: Primum Non Nocere,"Dylan Minor, J. Morgan",10.1525/cmr.2011.53.3.40,https://doi.org/10.1525/cmr.2011.53.3.40,-,596,2011,"CSR reporting can serve as reputational insurance for firms, protecting them from declines in reputation following adverse events."
CSR Disclosure in Polish-Listed Companies in the Light of Directive 2014/95/EU Requirements: Empirical Evidence,"Łukasz Matuszak, Ewa Różańska",10.3390/SU9122304,https://doi.org/10.3390/SU9122304,-,119,2017,CSR reporting by Polish listed companies is currently not compliant with new EU non-financial reporting requirements.
CSR Performance and the Readability of CSR Reports: Too Good to be True?,"Zhihong Wang, Tien‐Shih Hsieh, J. Sarkis",10.1002/CSR.1440,https://doi.org/10.1002/CSR.1440,-,278,2018,"Companies with stronger CSR performance have more readable CSR reports, especially for social performance."
CSR disclosure quantity to CSR disclosure quality – in pursuit of a disclosure quality index,"Faisal Hameed, T. Wilmshurst, Claire Horner",10.1108/par-11-2023-0161,https://doi.org/10.1108/par-11-2023-0161,Pacific Accounting Review,0,2024,The paper proposes a CSR disclosure quality index to assess the quality of companies' CSR reporting.
"Restatement of
 CSR
 Reports: Frequency, Magnitude, and Determinants*","Matt Pinnuck, A. Ranasinghe, N. Soderstrom, Joey Zhou",10.1111/1911-3846.12666,https://doi.org/10.1111/1911-3846.12666,-,49,2020,"CSR reports often contain unreliable quantitative information, with 39% of Global Fortune 250 companies restating their CSR reports, and the magnitude of restatements being quite high."
Motivations for corporate social and environmental reporting: New Zealand evidence,"Stevie Dobbs, C. V. Staden",10.1108/SAMPJ-08-2015-0070,https://doi.org/10.1108/SAMPJ-08-2015-0070,-,108,2016,Companies in New Zealand use CSR reporting primarily to increase legitimacy with stakeholders rather than a commitment to comprehensive sustainability disclosures.
CSR and sustainability reporting practices in India: an in-depth content analysis of top-listed companies,"Priyanka Aggarwal, Ashutosh Kumar Singh",10.1108/SRJ-03-2018-0078,https://doi.org/10.1108/SRJ-03-2018-0078,Social Responsibility Journal,109,2019,"This paper analyzes the corporate social responsibility (CSR) and sustainability reporting (SR) practices of Indian companies, finding that SR quality is lower than quantity and varies by industry and firm size."
Board diversity and CSR reporting: an Australian study,"K. Rao, C. Tilt",10.1108/MEDAR-08-2015-0052,https://doi.org/10.1108/MEDAR-08-2015-0052,-,249,2016,"Board diversity, particularly gender, tenure, and multiple directorships, influences the extent of CSR reporting by Australian companies."
Do Board Gender Diversity and Non-Executive Directors Affect CSR Reporting? Insight from Agency Theory Perspective,"Guping Cheng, Muhammad Safdar Sial, Peng Wan, A. Badulescu, D. Badulescu, Talles Vianna Brugni",10.3390/su12208597,https://doi.org/10.3390/su12208597,Sustainability,42,2020,Board gender diversity and reputational incentives of non-executive directors positively affect CSR reporting.
Corporate Social Responsibility and Corporate Governance: New Dimensions,R. Ramachandran,10.17010/PIJOM/2010/V3I8/60957,https://doi.org/10.17010/PIJOM/2010/V3I8/60957,-,2,2010,"CSR reporting is a way for companies to demonstrate their commitment to ethical, economic, social, and environmental sustainability."
Corporate social responsibility decoupling: a systematic literature review and future research agenda,"Shabana Talpur, Muhammad Nadeem, Helen Roberts",10.1108/jaar-08-2022-0223,https://doi.org/10.1108/jaar-08-2022-0223,Journal of Applied Accounting Research,27,2023,"Corporate social responsibility decoupling, where companies misreport CSR information, is a significant issue that requires further research and policy attention."
The development of corporate social responsibility in accounting research: evidence from Indonesia,"J. Gunawan, Setin Setin",10.1108/SRJ-03-2018-0076,https://doi.org/10.1108/SRJ-03-2018-0076,Social Responsibility Journal,26,2019,"This paper analyzes the development of corporate social responsibility (CSR) research in the accounting field in Indonesia, focusing on CSR disclosures."
The (Not So) New Corporate Social Responsibility: An Empirical Perspective,P. Portney,10.1093/reep/ren003,https://doi.org/10.1093/reep/ren003,Review of Environmental Economics and Policy,209,2008,The paper provides an empirical perspective on corporate social responsibility (CSR) and its potential financial benefits.
"Corporate social responsibility reports: A review of the evolution, approaches and prospects","Marta Isabel García-Rivas, F. J. Gálvez-Sánchez, José-Manuel Noguera-Vivo, V. Meseguer-Sánchez",10.1016/j.heliyon.2023.e18348,https://doi.org/10.1016/j.heliyon.2023.e18348,Heliyon,10,2023,"CSR reporting has gained strategic importance, with heterogeneity in conceptualization and management, and a multidisciplinary research area."
Corporate Social Responsibility Reporting and Varieties of Capitalism: an International Analysis of State‐Led and Liberal Market Economies,"Isabel Gallego‐Álvarez, Ivo Alexandre Quina-Custodio",10.1002/CSR.1421,https://doi.org/10.1002/CSR.1421,-,48,2017,"Companies in state-led market economies disclose more on CSR than companies in liberal market economies, likely due to stronger legal systems protecting stakeholder interests."
"Disentangling the nexus between CSR performance, GRI reporting and institutional environment: international evidence",Merve Kilic Karamahmutoglu,10.1108/jfra-10-2024-0737,https://doi.org/10.1108/jfra-10-2024-0737,Journal of Financial Reporting & Accounting,0,2025,"Companies use GRI reporting to signal their superior CSR performance, and this relationship is stronger in countries with stronger institutional environments."
Individualism and corporate social responsibility reporting,"Camila A. Simas, D. Slater, Karen C. Miller",10.1504/IJBGE.2018.10018511,https://doi.org/10.1504/IJBGE.2018.10018511,-,9,2018,"Individualism is negatively related to the credibility of CSR reporting, while external validation of CSR reports is positively related to their credibility."
Seeking Legitimacy through CSR Reporting: Evidence from China,"N. Dai, F. Du, S. Young, Guliang Tang",10.2308/JMAR-51627,https://doi.org/10.2308/JMAR-51627,-,62,2018,High-quality CSR reporting increases a firm's perceived legitimacy and leads to better financial performance in China.
CSR and Reporting by Selected Indian Companies: An Exploration,Rajni Bhalla,10.17010/PIJOM/2013/V6I1/59956,https://doi.org/10.17010/PIJOM/2013/V6I1/59956,-,5,2013,"The paper explores how selected Indian companies are integrating social, environmental and economic concerns into their CSR reporting and practices."
Towards a theory of social responsibility reporting,"Yuan-hui Li, Jie Zhang, Check-Teck Foo",10.1108/CMS-09-2013-0167,https://doi.org/10.1108/CMS-09-2013-0167,-,51,2013,The paper examines characteristics associated with higher quality corporate social responsibility (CSR) reporting in China.
Nonfinancial Corporate Social Responsibility Reporting and Firm Value: International Evidence on the Role of Financial Analysts,"Albert H. C. Tsang, K. Wang, Yue Wu, Jeff Lee",10.1080/09638180.2022.2094435,https://doi.org/10.1080/09638180.2022.2094435,The European Accounting Review,61,2022,"Voluntary CSR reporting increases firm value, and financial analysts strengthen this positive relationship."
CSR Reporting Practices: The Case of University of Bari,"F. Campobasso, Graziana Galeone, Simona Ranaldo, Matilda Shini",10.3390/admsci12010022,https://doi.org/10.3390/admsci12010022,Administrative Sciences,6,2022,The paper explores how the University of Bari integrates CSR practices into its strategy and involves stakeholders in CSR initiatives.
The Effect of Corporate Governance Elements on Corporate Social Responsibility (CSR) Reporting: Empirical Evidence from Private Commercial Banks of Bangladesh,H. Khan,10.1108/17542431011029406,https://doi.org/10.1108/17542431011029406,-,557,2010,The paper examines the effect of corporate governance elements on CSR reporting in Bangladeshi private commercial banks.
Do the IFRS promote corporate social responsibility reporting? Evidence from IFRS convergence in India,"P. Weerathunga, Xiaofang Chen, M. Nurunnabi, K. Kulathunga, R. Swarnapali",10.1016/j.intaccaudtax.2020.100336,https://doi.org/10.1016/j.intaccaudtax.2020.100336,-,15,2020,IFRS convergence in India led to increased corporate social responsibility reporting by adopting firms.
Reporting as a booster of the corporate social performance effect on corporate reputation,"Clara Pérez‐Cornejo, Esther Quevedo‐Puente, J. Delgado‐García",10.1002/csr.1881,https://doi.org/10.1002/csr.1881,-,71,2020,Good CSR reporting quality enhances the positive effect of corporate social performance on corporate reputation.
Does CSR reporting matter to foreign institutional investors in China?,"Wei Yu, Ying Zheng",10.1016/j.intaccaudtax.2020.100322,https://doi.org/10.1016/j.intaccaudtax.2020.100322,-,36,2020,Mandatory CSR reporting in China attracts more investment from foreign and local institutional investors.
A win-win situation: uncovering the relationship between CSR reporting and financial performance in Indian companies,"Shubham Singhania, Akshita Arora, Varda Sardana",10.1108/ijlma-05-2023-0126,https://doi.org/10.1108/ijlma-05-2023-0126,International Journal of Law and Management,5,2023,CSR reporting positively impacts the financial performance of Indian companies.
Corporate social and environmental reporting: a survey of disclosure practices in Egypt,"R. Rizk, R. Dixon, A. Woodhead",10.1108/17471110810892839,https://doi.org/10.1108/17471110810892839,-,176,2008,The paper surveys corporate social and environmental reporting practices of Egyptian companies.
Are CSR Disclosures Value Relevant? Cross-Country Evidence,"S. Cahan, C. de Villiers, Debra C. Jeter, Vic Naiker, Chris J. Van Staden",10.1080/09638180.2015.1064009,https://doi.org/10.1080/09638180.2015.1064009,-,386,2013,"CSR disclosures are value relevant, with unexpected CSR disclosures positively related to firm value, especially in countries with weak institutions."
Corporate social responsibility reporting in family firms: Evidence from China,Liang Ma,10.1016/j.jbef.2022.100730,https://doi.org/10.1016/j.jbef.2022.100730,Journal of Behavioral and Experimental Finance,15,2022,Family firms in China are more likely to engage in CSR reporting compared to non-family firms.
