standard,year,topic2,topic3,company_name,company_isin,req_type,comp_name,exists,value,material
esrs_v2,2023,own workforce metrics,characteristics,Temenos,CH0012453913,mandatory,a description of the assumptions used to compile the employee data,True,Temporary employees are employees on a fixed-term contract. Part-time employees are employees at less than 100% FTE.,True
esrs_v2,2023,own workforce metrics,characteristics,Temenos,CH0012453913,mandatory,"gender distribution at top management in the prior period,  in number",False,,True
esrs_v2,2023,own workforce metrics,characteristics,Temenos,CH0012453913,voluntary,"total number of full-time employees, breakdown by region by FTE (Region A; Region B)",False,,True
esrs_v2,2023,own workforce metrics,characteristics,Temenos,CH0012453913,voluntary,"total number of permanent employees, breakdown by region by FTE (Region A; Region B)",False,,True
esrs_v2,2023,own workforce metrics,characteristics,Temenos,CH0012453913,mandatory,"where data concerning non-employees is not available, the estimate number of non-employee data in combination with reporting the data unavailability",False,,True
esrs_v2,2023,own workforce metrics,characteristics,Temenos,CH0012453913,voluntary,"total number of temporary employees, breakdown by region by head count (Region A; Region B)",True,Asia Pacific: 1; Europe: 5; India: 0; Middle East and Africa: 144; Americas: 0,True
esrs_v2,2023,own workforce metrics,compensation,Temenos,CH0012453913,mandatory,"any contextual information necessary to understand the ""gender pay gap"" data and how it has been compiled (methodology)",True,"Our pay practices are reviewed annually to address any gaps among the 39 different countries we operate in, based on the role performed and factors such as skills, tenure, gender and race. Our compensation structure is set to be competitive in the market and equitable internally.",True
esrs_v2,2023,own workforce metrics,characteristics,Temenos,CH0012453913,mandatory,"total number of permanent employees, breakdown by gender by FTE (male; female; other; not reported)",False,,True
esrs_v2,2023,own workforce metrics,characteristics,Temenos,CH0012453913,mandatory,an explanation of how FTE is defined,False,,False
esrs_v2,2023,own workforce metrics,human rights,Temenos,CH0012453913,voluntary,"status of incidents and/or complaints and actions taken with reference to remediation plans that have been implemented, with results reviewed through routine internal management review processes",False,,False
esrs_v2,2023,own workforce metrics,characteristics,Temenos,CH0012453913,mandatory,total number of permanent employees by FTE,False,,True
esrs_v2,2023,own workforce metrics,health and safety,Temenos,CH0012453913,voluntary,number of fatalities as a result of work-related ill health,False,,True
esrs_v2,2023,own workforce metrics,compensation,Temenos,CH0012453913,mandatory,"any contextual information necessary to understand other changes to the underlying ""renumeration"" data that are to be considered",True,"Mr. Andreades agreed to retain his compensation package at the value of the Executive Chairman role (approximately 80% of CEO role) for this period of time (USD 7.4 million), and the terms for his STI and LTI plans, as described below, reflected the expected short-term nature of his appointment to the CEO role.",True
esrs_v2,2023,own workforce metrics,health and safety,Temenos,CH0012453913,voluntary,"number of cases of recordable work-related ill health, subject to legal restrictions on the collection of data with regard to the undertaking's non-employees",False,,True
esrs_v2,2023,own workforce metrics,compensation,Temenos,CH0012453913,voluntary,"gender pay gap by function (such as technical, administrative, production)",False,,True
esrs_v2,2023,own workforce metrics,health and safety,Temenos,CH0012453913,mandatory,"number of fatalities as a result of work-related injuries and work-related ill-health with regard to others workers working on the undertaking's sites, such as value chain workers if they are working on the undertaking's sites",False,,True
esrs_v2,2023,own workforce metrics,characteristics,Temenos,CH0012453913,voluntary,total number of full-time employees by head count,True,6558,True
esrs_v2,2023,own workforce metrics,training,Temenos,CH0012453913,voluntary,"percentage of non-employees that participated in regular performance and career development reviews, broken down by level (such as senior management, middle management)",False,,True
esrs_v2,2023,own workforce metrics,training,Temenos,CH0012453913,voluntary,average number of training hours per non-employee by gender,False,,True
esrs_v2,2023,own workforce metrics,health and safety,Temenos,CH0012453913,mandatory,number of fatalities as a result of work-related injuries and work-related ill-health,False,,True
esrs_v2,2023,own workforce metrics,collective bargaining and social dialogue,Temenos,CH0012453913,voluntary,"disclosure of the extent to which the working conditions and terms of employment of non-employees in its own workforce are determined or influenced by collective bargaining agreements, including an estimate of the coverage rate",False,,True
esrs_v2,2023,own workforce metrics,compensation,Temenos,CH0012453913,voluntary,disclosure whether all its non-employees are covered by social protection against loss of income due to retirement through public or private programs,False,,True
esrs_v2,2023,own workforce metrics,characteristics,Temenos,CH0012453913,voluntary,percentage of employees with disabilities with a breakdown by gender,False,,True
esrs_v2,2023,own workforce metrics,compensation,Temenos,CH0012453913,mandatory,"any contextual information necessary to understand other changes to the underlying ""gender pay gap"" data that are to be considered",True,which represents a 4pp decrease compared to 2022. We are committed to reducing further the gender pay gap through transparent and effective action plans and global initiatives,True
esrs_v2,2023,own workforce metrics,human rights,Temenos,CH0012453913,mandatory,"an indication of how many of these severe human rights incidents are cases of non-respect of the UN Guiding Principles on Business and Human Rights, ILO Declaration on Fundamental Principles and Rights at Work or OECD Guidelines for Multinational Enterprises.",False,,True
esrs_v2,2023,own workforce metrics,human rights,Temenos,CH0012453913,voluntary,status of incidents and/or complaints and actions taken with reference to incidents reviewed by the undertaking,False,,False
esrs_v2,2023,own workforce metrics,health and safety,Temenos,CH0012453913,mandatory,"number of days lost to work-related injuries and fatalities from work-related accidents, work-related ill health and fatalities from ill health with regard to the undertaking's employees",False,,True
esrs_v2,2023,own workforce metrics,characteristics,Temenos,CH0012453913,voluntary,"total number of part-time employees, breakdown by gender by FTE (male; female; other; not reported)",False,,True
esrs_v2,2023,own workforce metrics,characteristics,Temenos,CH0012453913,mandatory,a description of the assumptions used to compile the non-employee data,True,Business partners: Consultants of Temenos Certified companies have been considered as Temenos staff augmentation. External contractors: Consultants of third party companies (not approved as Temenos Certified Partner) or freelancers that get paid directly from Temenos have been considered as Temenos staff augmentation.,True
esrs_v2,2023,own workforce metrics,characteristics,Temenos,CH0012453913,voluntary,"total number of part-time employees, breakdown by region by head count (Region A; Region B)",True,Asia Pacific: 6; Europe: 49; India: 0; Middle East and Africa: 1; Americas: 2,True
esrs_v2,2023,own workforce metrics,compensation,Temenos,CH0012453913,voluntary,"disclosure whether all its non-employees are paid an adequate wage, in line with applicable benchmarks",False,,True
esrs_v2,2023,own workforce metrics,characteristics,Temenos,CH0012453913,voluntary,total number of part-time employees by FTE,False,,True
esrs_v2,2023,own workforce metrics,collective bargaining and social dialogue,Temenos,CH0012453913,voluntary,description of whether the undertaking determines the working conditions and terms of employment of employees not covered by collective bargaining agreements based on collective bargaining agreements that cover its other employees or based on collective bargaining agreements from other undertakings,True,"Working conditions and employment terms are not influenced or determined based on collective bargaining agreements for Temenos employees based in countries except for Brazil, France, Spain or Romania.",True
esrs_v2,2023,own workforce metrics,characteristics,Temenos,CH0012453913,mandatory,distribution of employees by age group over 50 years old in percentage,True,9.92,True
esrs_v2,2023,own workforce metrics,human rights,Temenos,CH0012453913,voluntary,status of incidents and/or complaints and actions taken with reference to incidents no longer subject to action,True,All filed cases have been successfully resolved,True
esrs_v2,2023,own workforce metrics,characteristics,Temenos,CH0012453913,mandatory,"total number of employees, broken down by gender (male, female, other, not reported) in full time equivalents (FTE)",False,,True
esrs_v2,2023,own workforce metrics,training,Temenos,CH0012453913,voluntary,"percentage of employees that participated in regular performance and career development reviews, broken down by function (such as technical, administrative, production)",False,,True
esrs_v2,2023,own workforce metrics,collective bargaining and social dialogue,Temenos,CH0012453913,mandatory,percentage of total employees covered by collective bargaining agreements ((number of employees covered by collective bargaining agreements)/(number of employees)*100),True,4.43,True
esrs_v2,2023,own workforce metrics,human rights,Temenos,CH0012453913,mandatory,"number of complaints filed through channels for people in the undertaking's own workforce to raise concerns (including grievance mechanisms), excluding those already reported as incidents of discrimination",True,2,True
esrs_v2,2023,own workforce metrics,compensation,Temenos,CH0012453913,voluntary,"gender pay gap between employees by function (such as technical, administrative, production) broken down by ordinary basic salary",False,,True
esrs_v2,2023,own workforce metrics,characteristics,Temenos,CH0012453913,mandatory,total number of employee breakdown by countries in which the undertaking has 50 or more employees representing at least 10% of its total number of employees in headcount (Country A; Country B; Country C; Country D),False,,True
esrs_v2,2023,own workforce metrics,characteristics,Temenos,CH0012453913,voluntary,total number of full-time employees by full time equivalents (FTE),False,,True
esrs_v2,2023,own workforce metrics,work-life balance,Temenos,CH0012453913,mandatory,percentage of entitled employees that took family-related leave breakdown by gender,False,,True
esrs_v2,2023,own workforce metrics,compensation,Temenos,CH0012453913,voluntary,"gender pay gap by level (such as senior management, middle management)",True,Global workforce: 32; Individual contributors: 29; Mid-level management: 12; Management: 7,True
esrs_v2,2023,own workforce metrics,compensation,Temenos,CH0012453913,mandatory,"disclosure whether all its employees are paid an adequate wage, in line with applicable benchmarks",True,"Salaries are reviewed annually, taking into consideration the cost of living per country so as to ensure all Temenos employees are paid above the applicable jurisdiction’s minimum wage, but also above the living wage.",True
esrs_v2,2023,own workforce metrics,compensation,Temenos,CH0012453913,voluntary,"annual total remuneration ratio of the highest paid individual to the median annual total remuneration for all employees (excluding the highest paid individual) adjusted for purchasing power differences between countries, in which case it shall report the methodology used for the calculation",False,,True
esrs_v2,2023,own workforce metrics,characteristics,Temenos,CH0012453913,mandatory,"where data concerning employees is not available, the undertaking shall state where empoyee data got estimated",False,,True
esrs_v2,2023,own workforce metrics,compensation,Temenos,CH0012453913,voluntary,"gender pay gap between employees by function (such as technical, administrative, production) broken down by variable components",False,,True
esrs_v2,2023,own workforce metrics,human rights,Temenos,CH0012453913,mandatory,"total amount of fines, penalties and compensation for damages for incidents that are cases on non-respect of the UN Guiding Principles on Business and Human Rights, ILO Declaration on Fundamental Principles and Rights at Work or OECD Guidelines for Multinational Enterprises",False,,True
esrs_v2,2023,own workforce metrics,human rights,Temenos,CH0012453913,mandatory,"contextual information necessary to understand the data regarding work-related incidents, complaints and severe human rights impacts and how it has been compiled",True,"Temenos has developed a due diligence process to proactively and systematically identify potential issues relating to respecting human rights issues and where they could occur in our own operations, value chain or activities related to our business and manage them.",True
esrs_v2,2023,own workforce metrics,characteristics,Temenos,CH0012453913,mandatory,total number of employees in the reporting period by full time equivalents (FTE),False,,True
esrs_v2,2023,own workforce metrics,characteristics,Temenos,CH0012453913,mandatory,total number of permanent employees by headcount,True,6466,True
esrs_v2,2023,own workforce metrics,human rights,Temenos,CH0012453913,voluntary,number of severe human rights incidents where the undertaking played a role securing remedy for those affected during the reporting period,False,,True
esrs_v2,2023,own workforce metrics,characteristics,Temenos,CH0012453913,voluntary,"total number of full-time employees, breakdown by gender by head count (male; female; other; not reported)",True,Male: 4286; Female: 2272,True
esrs_v2,2023,own workforce metrics,human rights,Temenos,CH0012453913,mandatory,"total amount of fines, penalties and compensation for damages as a result of the incidents and complaints reported",False,,True
esrs_v2,2023,own workforce metrics,training,Temenos,CH0012453913,voluntary,"average number of training hours per non-employee breakdown by level (such as senior management, middle management)",False,,True
esrs_v2,2023,own workforce metrics,characteristics,Temenos,CH0012453913,mandatory,total number of non-guaranteed hours employees by FTE,False,,True
esrs_v2,2023,own workforce metrics,human rights,Temenos,CH0012453913,mandatory,"a reconciliation of monetary amounts (fines, penalties and compensation for damages)as a result of incidents and complaints reported disclosed with the most relevant amount presented in the financial statements",False,,True
esrs_v2,2023,own workforce metrics,characteristics,Temenos,CH0012453913,mandatory,percentage of persons with disabilities amongst its employees subject to legal restrictions on the collection of data,False,,True
esrs_v2,2023,own workforce metrics,compensation,Temenos,CH0012453913,mandatory,gender pay gap (difference of average pay levels between female and male employees) as percentage of the average pay level of male employees,True,32,True
esrs_v2,2023,own workforce metrics,compensation,Temenos,CH0012453913,voluntary,"gender pay gap between employees by level (such as senior management, middle management) broken down by ordinary basic salary",False,,True
esrs_v2,2023,own workforce metrics,characteristics,Temenos,CH0012453913,voluntary,"total number of full-time employees, breakdown by region by head count (Region A; Region B)",True,Asia Pacific: 377; Europe: 1063; India: 4277; Middle East and Africa: 231; Americas: 610,True
esrs_v2,2023,own workforce metrics,compensation,Temenos,CH0012453913,voluntary,disclosure whether all its non-employees are covered by social protection against loss of income due to unemployment starting from when the own worker is working for the undertaking through public or private programs,False,,True
esrs_v2,2023,own workforce metrics,compensation,Temenos,CH0012453913,voluntary,gender pay gap by country,False,,True
esrs_v2,2023,own workforce metrics,compensation,Temenos,CH0012453913,mandatory,disclosure whether all its employees are covered by social protection against loss of income due to parental leave through public or private programs,True,"Minimum paid maternity leave comprises 20 calendar weeks at full pay, with no minimum tenure required.  Minimum paid paternity leave comprises two calendar weeks at full pay, with no minimum tenure required.",True
esrs_v2,2023,own workforce metrics,health and safety,Temenos,CH0012453913,mandatory,"number of fatalities as a result of work-related injuries and work-related ill-health, where applicable broken down between employees and non-employees in the undertaking's own workforce",False,,True
esrs_v2,2023,own workforce metrics,training,Temenos,CH0012453913,mandatory,"percentage of employees that participated in regular performance and career development reviews, broken down by gender",False,,True
esrs_v2,2023,own workforce metrics,training,Temenos,CH0012453913,mandatory,average number of training hours per employee,True,75,True
esrs_v2,2023,own workforce metrics,characteristics,Temenos,CH0012453913,voluntary,"total number of permanent employees, breakdown by region by head count (Region A; Region B)",True,Asia Pacific: 382; Europe: 1107; India: 4277; Middle East and Africa: 88; Americas: 612,True
esrs_v2,2023,own workforce metrics,compensation,Temenos,CH0012453913,voluntary,"if not all non-employees are paid an adequate wage in line with applicable benchmarks, disclosure of concerned countries with the respective percentages of non-employees that earn below the applicable adequate wage benchmark",False,,True
esrs_v2,2023,own workforce metrics,characteristics,Temenos,CH0012453913,mandatory,rate of employee turnover in the prior period,True,23.60,True
esrs_v2,2023,own workforce metrics,characteristics,Temenos,CH0012453913,mandatory,a description of the methodologies used to compile the employee data,True,"The data sources are the corporate internal IT and HR systems, which provide data on full-time and part-time employees as well as permanent and temporary employees.",True
esrs_v2,2023,own workforce metrics,training,Temenos,CH0012453913,voluntary,"average number of training hours per employee breakdown by level (such as senior management, middle management)",True,Management: 6 hours; Mid-level management: 22 hours; Individual contributor: 90 hours,True
esrs_v2,2023,own workforce metrics,characteristics,Temenos,CH0012453913,mandatory,rate of employee turnover in the reporting period,True,18.90,True
esrs_v2,2023,own workforce metrics,health and safety,Temenos,CH0012453913,voluntary,"internally audited percentage of own workforce covered by a health and safety management system based on legal requirements, recognised standards or guidelines",False,,True
esrs_v2,2023,own workforce metrics,work-life balance,Temenos,CH0012453913,mandatory,"whether all of the undertaking’s employees are entitled to family-related leave (maternity, paternity, parental or career’s leave) through social policy and/or collective bargaining agreements",True,"All employee benefits are provided to full-time as well as temporary or part-time employees based on the requirements mandated by the laws in the countries where we operate. Maternity Policy. These benefits apply to all mothers. Paternity Policy. These benefits apply to all fathers, including adoptive and foster fathers.",True
esrs_v2,2023,own workforce metrics,health and safety,Temenos,CH0012453913,mandatory,"where applicable the percentage of own workforce who are covered by the undertaking's health and safety management based on legal requirements and/or recognised standards or guidelines (in headcount), broken down between employees and non-employees in the undertaking's own workforce",False,,True
esrs_v2,2023,own workforce metrics,characteristics,Temenos,CH0012453913,mandatory,a description of the methodologies used to compile the non-employee data,False,,True
esrs_v2,2023,own workforce metrics,characteristics,Temenos,CH0012453913,mandatory,disclosure whether the non-employee numbers are reported in head count or full-time equivalent (FTE) (including an explanation of how FTE is defined),True,Data used to compile the dashboard represent actual headcount (not FTE) as per 31 December 2023,True
esrs_v2,2023,own workforce metrics,compensation,Temenos,CH0012453913,voluntary,"gender pay gap between employees by level (such as senior management, middle management) broken down by variable components",False,,True
esrs_v2,2023,own workforce metrics,compensation,Temenos,CH0012453913,voluntary,disclosure whether all its non-employees are covered by social protection against loss of income due to parental leave through public or private programs,False,,True
esrs_v2,2023,own workforce metrics,health and safety,Temenos,CH0012453913,mandatory,rate of recordable work-related accidents (injuries) (per 1.000.000 working hours),False,,True
esrs_v2,2023,own workforce metrics,health and safety,Temenos,CH0012453913,voluntary,"externally certified percentage of own workforce covered by a health and safety management system based on legal requirements, recognised standards or guidelines",False,,True
esrs_v2,2023,own workforce metrics,human rights,Temenos,CH0012453913,voluntary,status of incidents and/or complaints and actions taken with reference to remediation plans being implemented,False,,False
esrs_v2,2023,own workforce metrics,characteristics,Temenos,CH0012453913,mandatory,total number of temporary employees by FTE,False,,True
esrs_v2,2023,own workforce metrics,compensation,Temenos,CH0012453913,mandatory,"if not all employees are paid an adequate wage in line with applicable benchmarks, disclosure of concerned countries with the respective percentages of employees that earn below the applicable adequate wage benchmark",False,,False
esrs_v2,2023,own workforce metrics,training,Temenos,CH0012453913,voluntary,average number of training hours per non-employee,False,,True
esrs_v2,2023,own workforce metrics,health and safety,Temenos,CH0012453913,mandatory,number of recordable work-related accidents breakdown between employees and non-employees in the undertaking's own workforce,False,,True
esrs_v2,2023,own workforce metrics,characteristics,Temenos,CH0012453913,mandatory,"where data concerning non-employees is not available, the basis of preparation of the estimation",False,,True
esrs_v2,2023,own workforce metrics,characteristics,Temenos,CH0012453913,mandatory,"any contextual information necessary to understand the ""disability"" data and how it has been compiled (methodology) (e.g. information about the impact of different legal definitions of persons with disabilities in the different countries in which the undertaking has operations)",True,"Disability and chronic illness – Rethinking disability, illness and the limits placed on these communities.",True
esrs_v2,2023,own workforce metrics,characteristics,Temenos,CH0012453913,mandatory,"total number of permanent employees, breakdown by gender by head count (male; female; other; not reported)",True,Male: 4186; Female: 2280,True
esrs_v2,2023,own workforce metrics,compensation,Temenos,CH0012453913,mandatory,disclosure whether all its employees are covered by social protection against loss of income due to employment injury and acquired disability through public or private programs,True,"holding certain insurance policies such as workers’ compensation policies and third party liability, employees’ health and accident benefits protection",True
esrs_v2,2023,own workforce metrics,characteristics,Temenos,CH0012453913,voluntary,"total number of non-guaranteed hours employees, breakdown by region by head count (Region A; Region B)",False,,True
esrs_v2,2023,own workforce metrics,collective bargaining and social dialogue,Temenos,CH0012453913,mandatory,"the existence of any agreement with its employees for representation by a European Works Council (EWC), an Societas Europaea (SE) Works Council, or an Societas Cooperativa Europaea (SCE) Works Council",False,,True
esrs_v2,2023,own workforce metrics,characteristics,Temenos,CH0012453913,mandatory,distribution of employees by age group 30-50 years old in percentage,True,54.35,True
esrs_v2,2023,own workforce metrics,characteristics,Temenos,CH0012453913,voluntary,"total number of non-guaranteed hours employees, breakdown by region by FTE (Region A; Region B)",False,,True
esrs_v2,2023,own workforce metrics,characteristics,Temenos,CH0012453913,mandatory,total number of employees who left the undertaking during the reporting period,True,1253,True
esrs_v2,2023,own workforce metrics,compensation,Temenos,CH0012453913,mandatory,"if not all employees are covered by social protection, disclosure of concerned countries with the respective types of employees that do not have social protection regarding to one or more types of life events (sickness, unemployment starting from when the own worker is working for the company, employment injury and acquired disability, parental leave, retirement) ",False,,True
esrs_v2,2023,own workforce metrics,work-life balance,Temenos,CH0012453913,mandatory,"percentage of employees entitled to take family-related leave, if not all of the undertaking’s employees are entitled to family-related leave through social policy and/or collective bargaining agreements",False,,False
esrs_v2,2023,own workforce metrics,characteristics,Temenos,CH0012453913,mandatory,distribution of employees by age group over 50 years old in number,True,656,True
esrs_v2,2023,own workforce metrics,characteristics,Temenos,CH0012453913,voluntary,total number of part-time employees by head count,True,58,True
esrs_v2,2023,own workforce metrics,health and safety,Temenos,CH0012453913,mandatory,"percentage of own workforce covered by the health and safety management of the company based on legal requirements, recognised standards or guidelines (in headcount)",True,99.90,True
esrs_v2,2023,own workforce metrics,compensation,Temenos,CH0012453913,voluntary,"if not all non-employees are covered by social protection, disclosure of concerned countries with the respective types of non-employees that do not have social protection regarding to one or more types of life events (sickness, unemployment starting from when the own worker is working for the company, employment injury and acquired disability, parental leave, retirement)",False,,True
esrs_v2,2023,own workforce metrics,health and safety,Temenos,CH0012453913,voluntary,"number of fatalities as a result of work-related injuries, where applicable broken down between employees and non-employees in the undertaking's own workforce",False,,True
esrs_v2,2023,own workforce metrics,compensation,Temenos,CH0012453913,mandatory,disclosure whether all its employees are covered by social protection against loss of income due to unemployment starting from when the own worker is working for the undertaking through public or private programs,False,,True
esrs_v2,2023,own workforce metrics,characteristics,Temenos,CH0012453913,mandatory,"total number of employees, broken down by gender (male, female, other, not reported) in head count",True,Male: 4307; Female: 2309,True
esrs_v2,2023,own workforce metrics,compensation,Temenos,CH0012453913,voluntary,disclosure whether all its non-employees are covered by social protection against loss of income due to sickness through public or private programs,False,,True
esrs_v2,2023,own workforce metrics,compensation,Temenos,CH0012453913,voluntary,"gender pay gap between employees by function (such as technical, administrative, production) broken down by complementary components",False,,True
esrs_v2,2023,own workforce metrics,health and safety,Temenos,CH0012453913,mandatory,"number of cases of recordable work-related ill health, subject to legal restrictions on the collection of data with regard to the undertaking's employees",False,,True
esrs_v2,2023,own workforce metrics,compensation,Temenos,CH0012453913,voluntary,disclosure whether all its non-employees are covered by social protection against loss of income due to employment injury and acquired disability through public or private programs,False,,True
esrs_v2,2023,own workforce metrics,training,Temenos,CH0012453913,voluntary,percentage of non-employees that participated in regular performance and career development reviews,False,,True
esrs_v2,2023,own workforce metrics,characteristics,Temenos,CH0012453913,mandatory,"gender distribution at top management in the reporting period,  in number",False,,True
esrs_v2,2023,own workforce metrics,characteristics,Temenos,CH0012453913,mandatory,disclosure whether the employee numbers are reported: at the end of the reporting period; as an average across the reporting period; or using another methodology,True,"Data used to compile the dashboard represent actual headcount (not FTE) as per 31 December 2023, unless specified otherwise.",True
esrs_v2,2023,own workforce metrics,characteristics,Temenos,CH0012453913,mandatory,distribution of employees by age group under 30 years old in percentage,True,35.73,True
esrs_v2,2023,own workforce metrics,characteristics,Temenos,CH0012453913,mandatory,"gender distribution at top management in the reporting period, in percentage",True,One level away from CEO: male: 50.00; female: 50.00; Two levels away from CEO: male: 66.00; female: 34.00,True
esrs_v2,2023,own workforce metrics,compensation,Temenos,CH0012453913,mandatory,disclosure whether all its employees are covered by social protection against loss of income due to sickness through public or private programs,True,"So, we have extended our Family Care Leave Policy to support them to take time off when either they or their family needs it the most. We support our people to take up to four weeks of paid family care leave, in the case of bereavement or critical illness of their immediate dependent (spouse or child) or a parent or anybody for whom you are a primary caregiver.",True
esrs_v2,2023,own workforce metrics,characteristics,Temenos,CH0012453913,mandatory,total number of non-guaranteed hours employees by head count,False,,True
esrs_v2,2023,own workforce metrics,training,Temenos,CH0012453913,voluntary,"percentage of non-employees that participated in regular performance and career development reviews, broken down by gender",False,,True
esrs_v2,2023,own workforce metrics,characteristics,Temenos,CH0012453913,mandatory,"total number of non-guaranteed hours employees, breakdown by gender by FTE (male; female; other; not reported)",False,,True
